id,name,category,subcategory,rarity,professions,region,short_summary,icon
30015,Soot-black Gland,Ingredient,Tea Leaf,Common,Fishing,Greatwood,"Greatwood tea leaf ingredient: sought by apprentices, often a camp utility.",ingredient_soot_black_gland.png
30016,Worn Map Slip,Document,Permit,Common,None,Greatwood,"Greatwood permit document: favored by local scouts, often a fishing bait.",document_worn_map_slip.png
30017,River-smooth Dagger of Moss,Gear,Bow,Common,Cooking,Glimmerdeep,"Glimmerdeep bow gear: used in field repairs, often a quest turn-in.",gear_river_smooth_dagger_of_moss.png
30018,Worn Bud,Ingredient,Mushroom,Uncommon,Blacksmithing,Frostbriar,"Frostbriar mushroom ingredient: rings softly when shaken, often a fishing bait.",ingredient_worn_bud.png
30019,Briarbound Berry,Ingredient,Root,Rare,Alchemy,Saltmarrow,"Saltmarrow root ingredient: used in field repairs, often a armor patching.",ingredient_briarbound_berry.png
30020,Harbor-wet Pith,Ingredient,Sap,Uncommon,Mining,Emberford,"Emberford sap ingredient: kept for superstition, often a ritual prop.",ingredient_harbor_wet_pith.png
30021,Ash-dusted Voucher,Document,Map Fragment,Common,None,Emberford,"Emberford map fragment document: recommended by old timers, often a trap component.",document_ash_dusted_voucher.png
30022,Briarbound Scrap,Material,Resin,Common,Cooking,Hollowroot,"Hollowroot resin material: sought by apprentices, often a salt-proofing aid.",material_briarbound_scrap.png
30023,Salt-stained Tonic,Consumable,Tea,Uncommon,Skinning,Greatwood,"Greatwood tea consumable: common among dockhands, often a alchemy base.",consumable_salt_stained_tonic.png
30024,Lanternlit Dispatch,Document,Letter,Uncommon,None,Glimmerdeep,"Glimmerdeep letter document: common among dockhands, often a buff ingredient.",document_lanternlit_dispatch.png
30025,Kelp-woven Clasp,Material,Salt,Rare,Herbalism,Hollowroot,"Hollowroot salt material: packed for storms, often a fishing bait.",material_kelp_woven_clasp.png
30026,Briarbound Roster,Document,Ledger,Uncommon,None,Glimmerdeep,"Glimmerdeep ledger document: rings softly when shaken, often a buff ingredient.",document_briarbound_roster.png
30027,Glowcap Grit,Ingredient,Grain,Common,Woodworking,Emberford,"Emberford grain ingredient: traded at night markets, often a salt-proofing aid.",ingredient_glowcap_grit.png
30028,Soot-black Draft,Consumable,Food,Common,Mining,Emberford,"Emberford food consumable: traded at night markets, often a salt-proofing aid.",consumable_soot_black_draft.png
30029,Mossy Roster,Document,Letter,Common,None,Glimmerdeep,"Glimmerdeep letter document: packed for storms, often a armor patching.",document_mossy_roster.png
30030,Cedar-scented Dagger of Ember,Gear,Necklace,Common,Herbalism,Saltmarrow,"Saltmarrow necklace gear: sought by apprentices, often a map clue.",gear_cedar_scented_dagger_of_ember.png
30031,Worn Shield of Frost,Gear,Plate,Common,Mining,Glimmerdeep,"Glimmerdeep plate gear: packed for storms, often a armor patching.",gear_worn_shield_of_frost.png
30032,Glowcap Rind,Ingredient,Sap,Uncommon,Woodworking,Glimmerdeep,"Glimmerdeep sap ingredient: valued for its clean burn, often a quest turn-in.",ingredient_glowcap_rind.png
30033,Lanternlit Pod,Ingredient,Tea Leaf,Uncommon,Mining,Glimmerdeep,"Glimmerdeep tea leaf ingredient: stains fingers dark, often a trap component.",ingredient_lanternlit_pod.png
30034,Briarbound Poultice,Consumable,Food,Common,Enchanting,Emberford,"Emberford food consumable: recommended by old timers, often a map clue.",consumable_briarbound_poultice.png
30035,Tin-chimed Plank,Material,Salt,Uncommon,Blacksmithing,Frostbriar,"Frostbriar salt material: traded at night markets, often a armor patching.",material_tin_chimed_plank.png
30036,Glowcap Bracers of Ember,Gear,Bow,Common,Blacksmithing,Hollowroot,"Hollowroot bow gear: smells faintly of cedar, often a ritual prop.",gear_glowcap_bracers_of_ember.png
30037,Briarbound Voucher,Document,Field Notes,Common,None,Greatwood,"Greatwood field notes document: smells faintly of cedar, often a buff ingredient.",document_briarbound_voucher.png
30038,Ash-dusted Figurine,Curio,Charm,Common,None,Hollowroot,"Hollowroot charm curio: packed for storms, often a alchemy base.",curio_ash_dusted_figurine.png
30039,Mossy Pauldrons of Frost,Gear,Trinket,Common,Mining,Emberford,"Emberford trinket gear: sought by apprentices, often a trap component.",gear_mossy_pauldrons_of_frost.png
30040,Iron-banded Note,Document,Ledger,Rare,None,Glimmerdeep,"Glimmerdeep ledger document: kept for superstition, often a ritual prop.",document_iron_banded_note.png
30041,Candle-smoke Patch,Material,Stone,Common,Mining,Hollowroot,"Hollowroot stone material: traded at night markets, often a trap component.",material_candle_smoke_patch.png
30042,Frostbit Gloves of Brine,Gear,Bow,Uncommon,Skinning,Saltmarrow,"Saltmarrow bow gear: valued for its clean burn, often a map clue.",gear_frostbit_gloves_of_brine.png
30043,Windworn Buckler of Frost,Gear,Axe,Common,Cooking,Greatwood,"Greatwood axe gear: traded at night markets, often a ritual prop.",gear_windworn_buckler_of_frost.png
30044,Harbor-wet Rind,Ingredient,Grain,Common,Enchanting,Hollowroot,"Hollowroot grain ingredient: sought by apprentices, often a buff ingredient.",ingredient_harbor_wet_rind.png
30045,Candle-smoke Patch,Material,Bone,Common,Skinning,Hollowroot,"Hollowroot bone material: traded at night markets, often a trap component.",material_candle_smoke_patch.png
30046,Worn Charm,Curio,Token,Common,None,Greatwood,"Greatwood token curio: valued for its clean burn, often a trap component.",curio_worn_charm.png
30047,Worn Token,Curio,Mask,Common,None,Hollowroot,"Hollowroot mask curio: stains fingers dark, often a quest turn-in.",curio_worn_token.png
30048,Lanternlit Pauldrons of the Trail,Gear,Sword,Rare,Cooking,Greatwood,"Greatwood sword gear: recommended by old timers, often a vendor staple.",gear_lanternlit_pauldrons_of_the_trail.png
30049,Candle-smoke Helm of the Trail,Gear,Bow,Common,Engineering,Hollowroot,"Hollowroot bow gear: carried for long treks, often a buff ingredient.",gear_candle_smoke_helm_of_the_trail.png
30050,Roughspun Patch,Material,Fiber,Uncommon,None,Frostbriar,"Frostbriar fiber material: kept for superstition, often a camp utility.",material_roughspun_patch.png
30051,Mossy Charm of the Mire,Gear,Sword,Common,Enchanting,Frostbriar,"Frostbriar sword gear: carried for long treks, often a quest turn-in.",gear_mossy_charm_of_the_mire.png
30052,Worn Scrap,Material,Bone,Uncommon,Herbalism,Frostbriar,"Frostbriar bone material: favored by local scouts, often a map clue.",material_worn_scrap.png
30053,Lanternlit Receipt,Document,Map Fragment,Uncommon,None,Frostbriar,"Frostbriar map fragment document: stains fingers dark, often a quest turn-in.",document_lanternlit_receipt.png
30054,Mossy Tally,Curio,Tooling,Rare,None,Glimmerdeep,"Glimmerdeep tooling curio: smells faintly of cedar, often a map clue.",curio_mossy_tally.png
30055,Windworn Pellet,Consumable,Potion,Uncommon,Mining,Greatwood,"Greatwood potion consumable: kept for superstition, often a ritual prop.",consumable_windworn_pellet.png
30056,Silt-grit Page,Document,Letter,Uncommon,None,Saltmarrow,"Saltmarrow letter document: used in field repairs, often a ritual prop.",document_silt_grit_page.png
30057,Candle-smoke Figurine,Curio,Charm,Rare,None,Glimmerdeep,"Glimmerdeep charm curio: carried for long treks, often a camp utility.",curio_candle_smoke_figurine.png
30058,Brine-cured Tunic,Gear,Shield,Common,Enchanting,Emberford,"Emberford shield gear: carried for long treks, often a buff ingredient.",gear_brine_cured_tunic.png
30059,Cedar-scented Greaves of Ember,Gear,Leather,Rare,Blacksmithing,Glimmerdeep,"Glimmerdeep leather gear: packed for storms, often a ritual prop.",gear_cedar_scented_greaves_of_ember.png
30060,Kelp-woven Token,Curio,Token,Common,None,Glimmerdeep,"Glimmerdeep token curio: stains fingers dark, often a vendor staple.",curio_kelp_woven_token.png
30061,Kelp-woven Roster,Document,Ledger,Common,None,Hollowroot,"Hollowroot ledger document: stains fingers dark, often a buff ingredient.",document_kelp_woven_roster.png
30062,Mire-touched Tallow,Material,Resin,Rare,Herbalism,Hollowroot,"Hollowroot resin material: packed for storms, often a buff ingredient.",material_mire_touched_tallow.png
30063,Frostbit Charm of the Wharf,Gear,Shield,Rare,Skinning,Greatwood,"Greatwood shield gear: favored by local scouts, often a crafting reagent.",gear_frostbit_charm_of_the_wharf.png
30064,Brine-cured Warrant,Document,Permit,Common,None,Glimmerdeep,"Glimmerdeep permit document: traded at night markets, often a alchemy base.",document_brine_cured_warrant.png
30065,Windworn Root,Ingredient,Fruit,Common,Enchanting,Emberford,"Emberford fruit ingredient: recommended by old timers, often a quest turn-in.",ingredient_windworn_root.png
30066,Cedar-scented Chew,Consumable,Potion,Common,Fishing,Hollowroot,"Hollowroot potion consumable: packed for storms, often a salt-proofing aid.",consumable_cedar_scented_chew.png
30067,Brine-cured Ingot,Material,Stone,Rare,None,Saltmarrow,"Saltmarrow stone material: carried for long treks, often a camp utility.",material_brine_cured_ingot.png
30068,Lanternlit Greaves of Frost,Gear,Leather,Common,None,Hollowroot,"Hollowroot leather gear: common among dockhands, often a ritual prop.",gear_lanternlit_greaves_of_frost.png
30069,Faded Thread,Material,Ore,Common,Blacksmithing,Frostbriar,"Frostbriar ore material: smells faintly of cedar, often a vendor staple.",material_faded_thread.png
30070,Candle-smoke Map Slip,Document,Ledger,Rare,None,Greatwood,"Greatwood ledger document: recommended by old timers, often a quest turn-in.",document_candle_smoke_map_slip.png
30071,Harbor-wet Receipt,Document,Permit,Common,None,Saltmarrow,"Saltmarrow permit document: common among dockhands, often a crafting reagent.",document_harbor_wet_receipt.png
30072,Tin-chimed Scrap,Material,Resin,Common,Herbalism,Glimmerdeep,"Glimmerdeep resin material: packed for storms, often a ritual prop.",material_tin_chimed_scrap.png
30073,Lanternlit Spore,Ingredient,Spice,Common,Cooking,Saltmarrow,"Saltmarrow spice ingredient: packed for storms, often a fishing bait.",ingredient_lanternlit_spore.png
30074,Worn Plank,Material,Fiber,Common,Enchanting,Frostbriar,"Frostbriar fiber material: rings softly when shaken, often a alchemy base.",material_worn_plank.png
30075,Pine-sap Root,Ingredient,Meat,Uncommon,Blacksmithing,Glimmerdeep,"Glimmerdeep meat ingredient: traded at night markets, often a map clue.",ingredient_pine_sap_root.png
30076,Faded Paste,Material,Hide,Common,Herbalism,Frostbriar,"Frostbriar hide material: rings softly when shaken, often a map clue.",material_faded_paste.png
30077,Sturdy Figurine,Curio,Tooling,Uncommon,None,Hollowroot,"Hollowroot tooling curio: used in field repairs, often a vendor staple.",curio_sturdy_figurine.png
30078,Worn Leaf,Ingredient,Tea Leaf,Uncommon,None,Hollowroot,"Hollowroot tea leaf ingredient: valued for its clean burn, often a salt-proofing aid.",ingredient_worn_leaf.png
30079,Roughspun Fin,Ingredient,Spice,Common,None,Emberford,"Emberford spice ingredient: carried for long treks, often a crafting reagent.",ingredient_roughspun_fin.png
30080,Salt-stained Root,Ingredient,Fruit,Common,Mining,Saltmarrow,"Saltmarrow fruit ingredient: used in field repairs, often a camp utility.",ingredient_salt_stained_root.png
30081,Soot-black Shard,Material,Wood,Common,Fishing,Saltmarrow,"Saltmarrow wood material: recommended by old timers, often a camp utility.",material_soot_black_shard.png
30082,Mossy Bill,Document,Ledger,Common,None,Emberford,"Emberford ledger document: smells faintly of cedar, often a camp utility.",document_mossy_bill.png
30083,Salt-stained Token,Curio,Mask,Common,None,Emberford,"Emberford mask curio: kept for superstition, often a fishing bait.",curio_salt_stained_token.png
30084,Briarbound Map Slip,Document,Letter,Common,None,Glimmerdeep,"Glimmerdeep letter document: stains fingers dark, often a map clue.",document_briarbound_map_slip.png
30085,Windworn Root,Ingredient,Insect,Uncommon,Enchanting,Hollowroot,"Hollowroot insect ingredient: stains fingers dark, often a armor patching.",ingredient_windworn_root.png
30086,Roughspun Cowl of the Mire,Gear,Necklace,Uncommon,Herbalism,Glimmerdeep,"Glimmerdeep necklace gear: stains fingers dark, often a salt-proofing aid.",gear_roughspun_cowl_of_the_mire.png
30087,Cedar-scented Needle,Ingredient,Meat,Uncommon,Fishing,Hollowroot,"Hollowroot meat ingredient: valued for its clean burn, often a vendor staple.",ingredient_cedar_scented_needle.png
30088,Soot-black Handaxe of the Wharf,Gear,Ring,Common,Alchemy,Saltmarrow,"Saltmarrow ring gear: used in field repairs, often a crafting reagent.",gear_soot_black_handaxe_of_the_wharf.png
30089,Sturdy Stone,Curio,Mask,Rare,None,Emberford,"Emberford mask curio: common among dockhands, often a buff ingredient.",curio_sturdy_stone.png
30090,Briarbound Syrup,Consumable,Tonic,Common,Blacksmithing,Hollowroot,"Hollowroot tonic consumable: favored by local scouts, often a alchemy base.",consumable_briarbound_syrup.png
30091,Soot-black Seed,Ingredient,Tea Leaf,Uncommon,Mining,Saltmarrow,"Saltmarrow tea leaf ingredient: stains fingers dark, often a quest turn-in.",ingredient_soot_black_seed.png
30092,Briarbound Stamen,Ingredient,Sap,Common,Woodworking,Frostbriar,"Frostbriar sap ingredient: kept for superstition, often a armor patching.",ingredient_briarbound_stamen.png
30093,Harbor-wet Map Slip,Document,Permit,Uncommon,None,Emberford,"Emberford permit document: stains fingers dark, often a ritual prop.",document_harbor_wet_map_slip.png
30094,Pine-sap Dispatch,Document,Permit,Uncommon,None,Frostbriar,"Frostbriar permit document: recommended by old timers, often a buff ingredient.",document_pine_sap_dispatch.png
30095,Lanternlit Rivet,Material,Bone,Common,Skinning,Hollowroot,"Hollowroot bone material: packed for storms, often a vendor staple.",material_lanternlit_rivet.png
30096,Brine-cured Cowl of Brine,Gear,Bow,Common,Engineering,Greatwood,"Greatwood bow gear: common among dockhands, often a buff ingredient.",gear_brine_cured_cowl_of_brine.png
30097,Lanternlit Figurine,Curio,Token,Rare,None,Hollowroot,"Hollowroot token curio: traded at night markets, often a quest turn-in.",curio_lanternlit_figurine.png
30098,Briarbound Sprig,Ingredient,Grain,Rare,Mining,Saltmarrow,"Saltmarrow grain ingredient: used in field repairs, often a camp utility.",ingredient_briarbound_sprig.png
30099,Roughspun Dagger of Ember,Gear,Necklace,Uncommon,Fishing,Greatwood,"Greatwood necklace gear: rings softly when shaken, often a armor patching.",gear_roughspun_dagger_of_ember.png
30100,Soot-black Shortsword of the Trail,Gear,Ring,Uncommon,Skinning,Frostbriar,"Frostbriar ring gear: stains fingers dark, often a vendor staple.",gear_soot_black_shortsword_of_the_trail.png
30101,Soot-black Infusion,Consumable,Food,Common,Woodworking,Emberford,"Emberford food consumable: smells faintly of cedar, often a trap component.",consumable_soot_black_infusion.png
30102,Tin-chimed Pickle,Consumable,Tonic,Uncommon,Enchanting,Frostbriar,"Frostbriar tonic consumable: favored by local scouts, often a quest turn-in.",consumable_tin_chimed_pickle.png
30103,Sturdy Bandage Roll,Consumable,Food,Rare,None,Greatwood,"Greatwood food consumable: recommended by old timers, often a quest turn-in.",consumable_sturdy_bandage_roll.png
30104,Worn Draft,Consumable,Salve,Common,Skinning,Emberford,"Emberford salve consumable: sought by apprentices, often a fishing bait.",consumable_worn_draft.png
30105,Tin-chimed Token,Curio,Keepsake,Uncommon,None,Hollowroot,"Hollowroot keepsake curio: used in field repairs, often a vendor staple.",curio_tin_chimed_token.png
30106,Brine-cured Belt of the Mire,Gear,Cloth,Rare,Fishing,Saltmarrow,"Saltmarrow cloth gear: a staple in cold camps, often a fishing bait.",gear_brine_cured_belt_of_the_mire.png
30107,Windworn Husk,Material,Hide,Uncommon,Herbalism,Frostbriar,"Frostbriar hide material: rings softly when shaken, often a alchemy base.",material_windworn_husk.png
30108,Worn Spore,Ingredient,Grain,Rare,Cooking,Saltmarrow,"Saltmarrow grain ingredient: carried for long treks, often a trap component.",ingredient_worn_spore.png
30109,Silt-grit Memo,Document,Permit,Uncommon,None,Greatwood,"Greatwood permit document: favored by local scouts, often a quest turn-in.",document_silt_grit_memo.png
30110,Soot-black Gloves of Brine,Gear,Staff,Uncommon,Herbalism,Greatwood,"Greatwood staff gear: favored by local scouts, often a salt-proofing aid.",gear_soot_black_gloves_of_brine.png
30111,Soot-black Voucher,Document,Letter,Uncommon,None,Saltmarrow,"Saltmarrow letter document: kept for superstition, often a map clue.",document_soot_black_voucher.png
30112,Soot-black Greaves of Silt,Gear,Ring,Common,Mining,Emberford,"Emberford ring gear: carried for long treks, often a camp utility.",gear_soot_black_greaves_of_silt.png
30113,Faded Staff of Ember,Gear,Leather,Common,None,Hollowroot,"Hollowroot leather gear: kept for superstition, often a armor patching.",gear_faded_staff_of_ember.png
30114,Iron-banded Voucher,Document,Map Fragment,Common,None,Saltmarrow,"Saltmarrow map fragment document: valued for its clean burn, often a fishing bait.",document_iron_banded_voucher.png
30115,Ash-dusted Wire,Material,Wood,Uncommon,Mining,Saltmarrow,"Saltmarrow wood material: rings softly when shaken, often a fishing bait.",material_ash_dusted_wire.png
30116,Ash-dusted Greaves of Silt,Gear,Necklace,Common,Cooking,Frostbriar,"Frostbriar necklace gear: packed for storms, often a crafting reagent.",gear_ash_dusted_greaves_of_silt.png
30117,Lanternlit Voucher,Document,Letter,Uncommon,None,Emberford,"Emberford letter document: kept for superstition, often a salt-proofing aid.",document_lanternlit_voucher.png
30118,Windworn Mace of the Wharf,Gear,Sword,Uncommon,Enchanting,Frostbriar,"Frostbriar sword gear: common among dockhands, often a trap component.",gear_windworn_mace_of_the_wharf.png
30119,Sturdy Seed,Ingredient,Spice,Uncommon,None,Frostbriar,"Frostbriar spice ingredient: kept for superstition, often a salt-proofing aid.",ingredient_sturdy_seed.png
30120,Cedar-scented Marker,Curio,Sample Jar,Common,None,Glimmerdeep,"Glimmerdeep sample jar curio: traded at night markets, often a buff ingredient.",curio_cedar_scented_marker.png
30121,Mire-touched Cap,Ingredient,Meat,Uncommon,Alchemy,Emberford,"Emberford meat ingredient: sought by apprentices, often a quest turn-in.",ingredient_mire_touched_cap.png
30122,Worn Petal,Ingredient,Meat,Common,Alchemy,Saltmarrow,"Saltmarrow meat ingredient: rings softly when shaken, often a alchemy base.",ingredient_worn_petal.png
30123,Kelp-woven Memo,Document,Map Fragment,Common,None,Saltmarrow,"Saltmarrow map fragment document: common among dockhands, often a buff ingredient.",document_kelp_woven_memo.png
30124,Mire-touched Patch,Material,Hide,Common,Blacksmithing,Saltmarrow,"Saltmarrow hide material: sought by apprentices, often a quest turn-in.",material_mire_touched_patch.png
30125,Brine-cured Greaves of the Wharf,Gear,Bow,Common,Engineering,Hollowroot,"Hollowroot bow gear: recommended by old timers, often a ritual prop.",gear_brine_cured_greaves_of_the_wharf.png
30126,Lanternlit Coat of Silt,Gear,Shield,Rare,Alchemy,Emberford,"Emberford shield gear: smells faintly of cedar, often a salt-proofing aid.",gear_lanternlit_coat_of_silt.png
30127,Cedar-scented Paste,Material,Glass,Common,Engineering,Saltmarrow,"Saltmarrow glass material: favored by local scouts, often a alchemy base.",material_cedar_scented_paste.png
30128,Kelp-woven Chit,Curio,Mask,Rare,None,Emberford,"Emberford mask curio: a staple in cold camps, often a map clue.",curio_kelp_woven_chit.png
30129,Pine-sap Whistle,Curio,Sample Jar,Common,None,Frostbriar,"Frostbriar sample jar curio: carried for long treks, often a trap component.",curio_pine_sap_whistle.png
30130,Roughspun Belt of the Trail,Gear,Leather,Common,Enchanting,Saltmarrow,"Saltmarrow leather gear: carried for long treks, often a crafting reagent.",gear_roughspun_belt_of_the_trail.png
30131,Mire-touched Marker,Curio,Tooling,Uncommon,None,Saltmarrow,"Saltmarrow tooling curio: used in field repairs, often a fishing bait.",curio_mire_touched_marker.png
30132,Ash-dusted Stamp,Curio,Keepsake,Uncommon,None,Glimmerdeep,"Glimmerdeep keepsake curio: sought by apprentices, often a fishing bait.",curio_ash_dusted_stamp.png
30133,Silt-grit Voucher,Document,Permit,Common,None,Glimmerdeep,"Glimmerdeep permit document: stains fingers dark, often a alchemy base.",document_silt_grit_voucher.png
30134,Worn Rind,Ingredient,Fruit,Common,Herbalism,Saltmarrow,"Saltmarrow fruit ingredient: smells faintly of cedar, often a map clue.",ingredient_worn_rind.png
30135,Glowcap Warrant,Document,Field Notes,Uncommon,None,Hollowroot,"Hollowroot field notes document: valued for its clean burn, often a salt-proofing aid.",document_glowcap_warrant.png
30136,River-smooth Scale,Ingredient,Fruit,Uncommon,Engineering,Greatwood,"Greatwood fruit ingredient: valued for its clean burn, often a fishing bait.",ingredient_river_smooth_scale.png
30137,Glowcap Permit,Document,Ledger,Rare,None,Saltmarrow,"Saltmarrow ledger document: traded at night markets, often a armor patching.",document_glowcap_permit.png
30138,Salt-stained Coat of the Mire,Gear,Plate,Uncommon,Herbalism,Emberford,"Emberford plate gear: valued for its clean burn, often a ritual prop.",gear_salt_stained_coat_of_the_mire.png
30139,Frostbit Note,Document,Permit,Rare,None,Emberford,"Emberford permit document: traded at night markets, often a camp utility.",document_frostbit_note.png
30140,Briarbound Map Slip,Document,Field Notes,Uncommon,None,Hollowroot,"Hollowroot field notes document: stains fingers dark, often a fishing bait.",document_briarbound_map_slip.png
30141,Cedar-scented Liniment,Consumable,Potion,Common,Cooking,Hollowroot,"Hollowroot potion consumable: traded at night markets, often a trap component.",consumable_cedar_scented_liniment.png
30142,Tin-chimed Slab,Material,Salt,Common,Engineering,Glimmerdeep,"Glimmerdeep salt material: valued for its clean burn, often a fishing bait.",material_tin_chimed_slab.png
30143,Silt-grit Mace of Frost,Gear,Trinket,Common,Alchemy,Greatwood,"Greatwood trinket gear: packed for storms, often a crafting reagent.",gear_silt_grit_mace_of_frost.png
30144,Iron-banded Plate,Material,Bone,Common,Enchanting,Emberford,"Emberford bone material: kept for superstition, often a crafting reagent.",material_iron_banded_plate.png
30145,Silt-grit Charm,Curio,Sample Jar,Common,None,Saltmarrow,"Saltmarrow sample jar curio: sought by apprentices, often a buff ingredient.",curio_silt_grit_charm.png
30146,Briarbound Bark,Ingredient,Grain,Common,Mining,Emberford,"Emberford grain ingredient: common among dockhands, often a camp utility.",ingredient_briarbound_bark.png
30147,Mossy Pickle,Consumable,Potion,Rare,Mining,Saltmarrow,"Saltmarrow potion consumable: kept for superstition, often a armor patching.",consumable_mossy_pickle.png
30148,Glowcap Handaxe of Frost,Gear,Necklace,Uncommon,Blacksmithing,Emberford,"Emberford necklace gear: favored by local scouts, often a salt-proofing aid.",gear_glowcap_handaxe_of_frost.png
30149,Lanternlit Memo,Document,Ledger,Uncommon,None,Frostbriar,"Frostbriar ledger document: sought by apprentices, often a armor patching.",document_lanternlit_memo.png
30150,Glowcap Chit,Curio,Charm,Common,None,Frostbriar,"Frostbriar charm curio: common among dockhands, often a quest turn-in.",curio_glowcap_chit.png
30151,Cedar-scented Tallow,Material,Ore,Rare,None,Hollowroot,"Hollowroot ore material: recommended by old timers, often a salt-proofing aid.",material_cedar_scented_tallow.png
30152,Harbor-wet Bud,Ingredient,Spice,Common,Blacksmithing,Emberford,"Emberford spice ingredient: a staple in cold camps, often a camp utility.",ingredient_harbor_wet_bud.png
30153,Cedar-scented Scribble,Document,Field Notes,Uncommon,None,Glimmerdeep,"Glimmerdeep field notes document: recommended by old timers, often a map clue.",document_cedar_scented_scribble.png
30154,Roughspun Scribble,Document,Letter,Uncommon,None,Glimmerdeep,"Glimmerdeep letter document: rings softly when shaken, often a ritual prop.",document_roughspun_scribble.png
30155,Kelp-woven Cowl of the Wharf,Gear,Mace,Common,Mining,Saltmarrow,"Saltmarrow mace gear: smells faintly of cedar, often a vendor staple.",gear_kelp_woven_cowl_of_the_wharf.png
30156,Ash-dusted Plank,Material,Cloth,Common,Fishing,Emberford,"Emberford cloth material: packed for storms, often a fishing bait.",material_ash_dusted_plank.png
30157,Salt-stained Berry,Ingredient,Spice,Uncommon,Fishing,Saltmarrow,"Saltmarrow spice ingredient: kept for superstition, often a map clue.",ingredient_salt_stained_berry.png
30158,Salt-stained Powder,Material,Bone,Uncommon,Mining,Glimmerdeep,"Glimmerdeep bone material: stains fingers dark, often a armor patching.",material_salt_stained_powder.png
30159,Harbor-wet Map Slip,Document,Map Fragment,Uncommon,None,Glimmerdeep,"Glimmerdeep map fragment document: used in field repairs, often a buff ingredient.",document_harbor_wet_map_slip.png
30160,Faded Lens,Curio,Tooling,Uncommon,None,Saltmarrow,"Saltmarrow tooling curio: rings softly when shaken, often a vendor staple.",curio_faded_lens.png
30161,Briarbound Cord,Curio,Token,Rare,None,Emberford,"Emberford token curio: valued for its clean burn, often a armor patching.",curio_briarbound_cord.png
30162,Lanternlit Bow of Frost,Gear,Mail,Common,Enchanting,Hollowroot,"Hollowroot mail gear: smells faintly of cedar, often a armor patching.",gear_lanternlit_bow_of_frost.png
30163,Salt-stained Stone,Curio,Tooling,Common,None,Glimmerdeep,"Glimmerdeep tooling curio: kept for superstition, often a camp utility.",curio_salt_stained_stone.png
30164,Frostbit Needle,Ingredient,Fish,Common,Blacksmithing,Frostbriar,"Frostbriar fish ingredient: smells faintly of cedar, often a map clue.",ingredient_frostbit_needle.png
30165,Pine-sap Resin,Material,Stone,Rare,Fishing,Glimmerdeep,"Glimmerdeep stone material: recommended by old timers, often a fishing bait.",material_pine_sap_resin.png
30166,Lanternlit Bark,Ingredient,Root,Common,Woodworking,Glimmerdeep,"Glimmerdeep root ingredient: valued for its clean burn, often a quest turn-in.",ingredient_lanternlit_bark.png
30167,Pine-sap Note,Document,Ledger,Common,None,Greatwood,"Greatwood ledger document: used in field repairs, often a salt-proofing aid.",document_pine_sap_note.png
