id,name,category,subcategory,rarity,professions,region,short_uses,file_name
58079,Oathforged Lantern 58079,Tool,Rope,Common,Alchemy,Saltmarrow tidepools,Utility item for travel salvage and exploration.,item_58079.png
58080,Hearthworn Token 58080,Material,Ore,Common,Smithing,Bramblefold hedges,Core trade material used in many early recipes.,item_58080.png
58081,Ashen Band 58081,World Object,Marker,Common,Enchanting,Bramblefold hedges,Placeable/interactive world piece for events.,item_58081.png
58082,Saltstained Band 58082,Consumable,Powder,Common,Enchanting,Bramblefold hedges,Everyday field supply that reduces downtime.,item_58082.png
58083,Stormkissed Knife 58083,World Object,Cairn,Common,Leatherworking,Deepwatch,Placeable/interactive world piece for events.,item_58083.png
58084,Market Rivet 58084,World Object,Totem,Common,Leatherworking,Saltmarrow strand,Placeable/interactive world piece for events.,item_58084.png
58085,Lanternlit Token 58085,Consumable,Food,Common,Herbalism,Glimmerdeep shore,Everyday field supply that reduces downtime.,item_58085.png
58086,Glimmering Buckle 58086,Curio,Token,Uncommon,None,Deepwatch,Flavor drop that feeds quests vendors and collectors.,item_58086.png
58087,Oathforged Stitch 58087,Trinket,Sigil,Common,Alchemy,Duskhollow bogs,Minor passive charm with low-power utility.,item_58087.png
58088,Rivercut Ink 58088,Map,Ruin Sketch,Common,Alchemy,Bramblefold hedges,Simple navigation aid that points to micro-locations.,item_58088.png
58089,Dusk Skein 58089,Map,Cave Map,Common,Herbalism,Frost Caverns,Simple navigation aid that points to micro-locations.,item_58089.png
58090,Ashen Lantern 58090,Quest,Quest Item,Common,Fishing,Frost Caverns,Objective item for contracts and errands.,item_58090.png
58091,Pilgrim's Ledger 58091,Trophy,Fang,Common,Smithing,Saltmarrow strand,Monster proof used for bounties and turn-ins.,item_58091.png
58092,Stormkissed Stitch 58092,Material,Ore,Common,Smithing,Frostbriar trails,Core trade material used in many early recipes.,item_58092.png
58093,Rivercut Pouch 58093,Consumable,Bandage,Uncommon,Engineering,Glimmerdeep shore,Everyday field supply that reduces downtime.,item_58093.png
58094,Bramble Seal 58094,Tool,Rope,Common,Cooking,Emberford markets,Utility item for travel salvage and exploration.,item_58094.png
58095,Lanternlit Needle 58095,Trophy,Scale,Common,Mining,Bramblefold hedges,Monster proof used for bounties and turn-ins.,item_58095.png
58096,Cinder Totem 58096,Quest,Quest Item,Common,None,Deepwatch,Objective item for contracts and errands.,item_58096.png
58097,Warden's Totem 58097,Profession Tool,Jeweler Kit,Common,Enchanting,Ashen Ridge terraces,Starter kit enabling profession actions.,item_58097.png
58098,Stormkissed Band 58098,Trinket,Charm,Common,Herbalism,Frost Caverns,Minor passive charm with low-power utility.,item_58098.png
58099,Frostbound Carving Trinket 58099,Gear,Trinket,Common,Leatherworking,Saltmarrow strand,Baseline leveling piece with steady stats and simple flavor.,item_58099.png
58100,Cinder Totem 58100,Key,Salt Key,Uncommon,Leatherworking,Ashen Ridge terraces,Basic key used for side doors and caches.,item_58100.png
58101,Bramble Rivet 58101,Consumable,Scroll,Common,Cooking,Saltmarrow strand,Everyday field supply that reduces downtime.,item_58101.png
58102,Market Talisman 58102,Curio,Relic,Common,Smithing,Saltmarrow tidepools,Flavor drop that feeds quests vendors and collectors.,item_58102.png
58103,Saltstained Cairn 58103,Trophy,Scale,Common,Fishing,Glimmerdeep shore,Monster proof used for bounties and turn-ins.,item_58103.png
58104,Saltstained Cairn 58104,Tool,Saw,Common,Alchemy,Bramblefold hedges,Utility item for travel salvage and exploration.,item_58104.png
58105,Saltstained Skein Sword 58105,Gear,Sword,Common,Jewelry,Frostbriar trails,Baseline leveling piece with steady stats and simple flavor.,item_58105.png
58106,Hearthworn Seal 58106,Map,Harbor Chart,Common,Leatherworking,Frost Caverns,Simple navigation aid that points to micro-locations.,item_58106.png
58107,Dusk Talisman Wand 58107,Gear,Wand,Common,Alchemy,Frost Caverns,Baseline leveling piece with steady stats and simple flavor.,item_58107.png
58108,Glimmering Pouch 58108,Alchemy,Distillate,Common,Engineering,Saltmarrow strand,Reliable reagent for low to mid-tier mixtures.,item_58108.png
58109,Glimmering Needle 58109,Quest,Quest Item,Uncommon,Tailoring,Saltmarrow tidepools,Objective item for contracts and errands.,item_58109.png
58110,Pilgrim's Brew 58110,Map,Cave Map,Uncommon,None,Frost Caverns,Simple navigation aid that points to micro-locations.,item_58110.png
58111,Mireborn Fillet 58111,Material,Stone Block,Common,Leatherworking,Bramblefold hedges,Core trade material used in many early recipes.,item_58111.png
58112,Ashen Ink 58112,Ingredient,Mushroom,Common,Tailoring,Deepwatch,Common crafting input used across cooking and alchemy.,item_58112.png
58113,Bramble Spice 58113,Tool,Compass,Common,Engineering,Emberford markets,Utility item for travel salvage and exploration.,item_58113.png
58114,Rivercut Gizmo 58114,Ingredient,Sap,Common,Enchanting,Saltmarrow strand,Common crafting input used across cooking and alchemy.,item_58114.png
58115,Frostbound Seal 58115,Alchemy,Phial,Common,Jewelry,Emberford markets,Reliable reagent for low to mid-tier mixtures.,item_58115.png
58116,Mireborn Compass 58116,Ingredient,Herb,Uncommon,Jewelry,Saltmarrow strand,Common crafting input used across cooking and alchemy.,item_58116.png
58117,Hearthworn Totem 58117,Trinket,Charm,Common,Cooking,Deepwatch,Minor passive charm with low-power utility.,item_58117.png
58118,Bramble Shard 58118,Ingredient,Spice,Common,Cooking,Ashen Ridge terraces,Common crafting input used across cooking and alchemy.,item_58118.png
58119,Glimmering Ration 58119,World Object,Cairn,Common,Alchemy,Saltmarrow tidepools,Placeable/interactive world piece for events.,item_58119.png
58120,Ashen Knot 58120,World Object,Cairn,Rare,Alchemy,Saltmarrow tidepools,Placeable/interactive world piece for events.,item_58120.png
58121,Ashen Knife 58121,Curio,Relic,Uncommon,Tailoring,Frost Caverns,Flavor drop that feeds quests vendors and collectors.,item_58121.png
58122,Market Knife 58122,Profession Tool,Fishing Kit,Common,Fishing,Glimmerdeep canals,Starter kit enabling profession actions.,item_58122.png
58123,Pilgrim's Ink 58123,Document,Ledger,Uncommon,None,Frost Caverns,Readable lore drop that hints at routes and secrets.,item_58123.png
58124,Rivercut Lantern 58124,Document,Prayer Slip,Uncommon,Enchanting,Glimmerdeep canals,Readable lore drop that hints at routes and secrets.,item_58124.png
58125,Hearthworn Brew 58125,Alchemy,Phial,Common,Fishing,Ashen Ridge terraces,Reliable reagent for low to mid-tier mixtures.,item_58125.png
58126,Cinder Fillet 58126,Toy,Spin Top,Common,Engineering,Saltmarrow strand,Harmless fun item with small social value.,item_58126.png
58127,Glimmering Carving 58127,World Object,Cairn,Common,Tailoring,Deepwatch,Placeable/interactive world piece for events.,item_58127.png
58128,Dusk Totem 58128,Profession Tool,Leather Kit,Uncommon,Fishing,Frost Caverns,Starter kit enabling profession actions.,item_58128.png
58129,Frostbound Carving 58129,World Object,Marker,Common,Leatherworking,Emberford markets,Placeable/interactive world piece for events.,item_58129.png
58130,Cinder Balm 58130,Trinket,Sigil,Common,Alchemy,Saltmarrow tidepools,Minor passive charm with low-power utility.,item_58130.png
58131,Warden's Lantern Helm 58131,Gear,Mail Helm,Uncommon,Enchanting,Saltmarrow strand,Baseline leveling piece with steady stats and simple flavor.,item_58131.png
58132,Oathforged Cog 58132,Document,Prayer Slip,Rare,Jewelry,Frost Caverns,Readable lore drop that hints at routes and secrets.,item_58132.png
58133,Rivercut Ink 58133,Quest,Quest Item,Rare,Mining,Saltmarrow tidepools,Objective item for contracts and errands.,item_58133.png
58134,Pilgrim's Fillet 58134,Trinket,Stone,Common,Herbalism,Saltmarrow tidepools,Minor passive charm with low-power utility.,item_58134.png
58135,Bramble Ledger 58135,Consumable,Tea,Common,Enchanting,Saltmarrow tidepools,Everyday field supply that reduces downtime.,item_58135.png
58136,Frostbound Spice 58136,Quest,Quest Item,Common,Fishing,Glimmerdeep canals,Objective item for contracts and errands.,item_58136.png
58137,Warden's Compass 58137,Tool,Lockpick,Uncommon,Smithing,Ashen Ridge terraces,Utility item for travel salvage and exploration.,item_58137.png
58138,Hearthworn Compass Boots 58138,Gear,Leather Boots,Common,Engineering,Frostbriar trails,Baseline leveling piece with steady stats and simple flavor.,item_58138.png
58139,Frostbound Compass 58139,Profession Tool,Jeweler Kit,Uncommon,None,Glimmerdeep canals,Starter kit enabling profession actions.,item_58139.png
58140,Bramble Stitch 58140,Ingredient,Meat,Common,Tailoring,Duskhollow bogs,Common crafting input used across cooking and alchemy.,item_58140.png
58141,Mireborn Hook Helm 58141,Gear,Mail Helm,Common,Mining,Glimmerdeep canals,Baseline leveling piece with steady stats and simple flavor.,item_58141.png
58142,Saltstained Knife 58142,Key,Iron Key,Common,Enchanting,Saltmarrow tidepools,Basic key used for side doors and caches.,item_58142.png
58143,Mireborn Lantern 58143,Ingredient,Meat,Uncommon,Fishing,Glimmerdeep shore,Common crafting input used across cooking and alchemy.,item_58143.png
58144,Stormkissed Brew 58144,Curio,Oddity,Uncommon,Cooking,Bramblefold hedges,Flavor drop that feeds quests vendors and collectors.,item_58144.png
58145,Lanternlit Knot 58145,Trinket,Stone,Common,Mining,Emberford markets,Minor passive charm with low-power utility.,item_58145.png
58146,Mireborn Totem 58146,Material,Stone Block,Common,None,Saltmarrow strand,Core trade material used in many early recipes.,item_58146.png
58147,Cinder Shard Helm 58147,Gear,Mail Helm,Common,Cooking,Duskhollow bogs,Baseline leveling piece with steady stats and simple flavor.,item_58147.png
58148,Rivercut Skein 58148,Document,Ledger,Rare,Alchemy,Saltmarrow strand,Readable lore drop that hints at routes and secrets.,item_58148.png
58149,Glimmering Shard 58149,Profession Tool,Leather Kit,Common,Herbalism,Emberford outskirts,Starter kit enabling profession actions.,item_58149.png
58150,Saltstained Hook 58150,Trinket,Charm,Uncommon,Enchanting,Frostbriar trails,Minor passive charm with low-power utility.,item_58150.png
58151,Hearthworn Knot 58151,Trophy,Scale,Rare,Tailoring,Emberford markets,Monster proof used for bounties and turn-ins.,item_58151.png
58152,Cinder Lantern 58152,Document,Field Note,Common,Enchanting,Emberford markets,Readable lore drop that hints at routes and secrets.,item_58152.png
58153,Rivercut Gizmo 58153,Tool,Knife,Common,Engineering,Frost Caverns,Utility item for travel salvage and exploration.,item_58153.png
58154,Oathforged Pike Robe 58154,Gear,Cloth Robe,Common,Alchemy,Glimmerdeep canals,Baseline leveling piece with steady stats and simple flavor.,item_58154.png
58155,Lanternlit Tonic 58155,Ingredient,Fish,Common,Cooking,Duskhollow bogs,Common crafting input used across cooking and alchemy.,item_58155.png
58156,Saltstained Pouch 58156,Key,Iron Key,Common,Alchemy,Saltmarrow strand,Basic key used for side doors and caches.,item_58156.png
58157,Bramble Lantern 58157,Material,Dye,Common,Enchanting,Duskhollow bogs,Core trade material used in many early recipes.,item_58157.png
58158,Bramble Cairn 58158,Trinket,Sigil,Common,Jewelry,Frostbriar trails,Minor passive charm with low-power utility.,item_58158.png
58159,Dusk Gizmo 58159,World Object,Cache,Common,Tailoring,Saltmarrow tidepools,Placeable/interactive world piece for events.,item_58159.png
58160,Bramble Ledger 58160,Map,Trail Map,Uncommon,Cooking,Saltmarrow tidepools,Simple navigation aid that points to micro-locations.,item_58160.png
58161,Warden's Band 58161,Ingredient,Fish,Common,Tailoring,Glimmerdeep shore,Common crafting input used across cooking and alchemy.,item_58161.png
58162,Saltstained Carving 58162,Material,Ingot,Common,Tailoring,Emberford outskirts,Core trade material used in many early recipes.,item_58162.png
58163,Mireborn Knife 58163,Material,Ingot,Common,Alchemy,Glimmerdeep canals,Core trade material used in many early recipes.,item_58163.png
58164,Oathforged Stitch 58164,Toy,Dice,Common,Fishing,Frost Caverns,Harmless fun item with small social value.,item_58164.png
58165,Stormkissed Shard 58165,Toy,Wooden Doll,Rare,Cooking,Frost Caverns,Harmless fun item with small social value.,item_58165.png
58166,Frostbound Balm 58166,Map,Trail Map,Uncommon,Enchanting,Frostbriar trails,Simple navigation aid that points to micro-locations.,item_58166.png
58167,Warden's Spice 58167,Key,Iron Key,Common,Smithing,Glimmerdeep shore,Basic key used for side doors and caches.,item_58167.png
58168,Rivercut Stitch 58168,Tool,Rope,Common,Mining,Emberford outskirts,Utility item for travel salvage and exploration.,item_58168.png
58169,Lanternlit Carving 58169,Alchemy,Catalyst,Uncommon,Smithing,Duskhollow bogs,Reliable reagent for low to mid-tier mixtures.,item_58169.png
58170,Pilgrim's Shard 58170,Profession Tool,Cooking Kit,Uncommon,Herbalism,Emberford markets,Starter kit enabling profession actions.,item_58170.png
58171,Pilgrim's Pike 58171,Toy,Wooden Doll,Uncommon,Alchemy,Ashen Ridge terraces,Harmless fun item with small social value.,item_58171.png
58172,Saltstained Gizmo 58172,Toy,Wooden Doll,Rare,Mining,Frostbriar trails,Harmless fun item with small social value.,item_58172.png
58173,Rivercut Skein 58173,Alchemy,Reagent,Uncommon,Enchanting,Emberford outskirts,Reliable reagent for low to mid-tier mixtures.,item_58173.png
58174,Warden's Fillet 58174,Profession Tool,Jeweler Kit,Common,Herbalism,Duskhollow bogs,Starter kit enabling profession actions.,item_58174.png
58175,Mireborn Gizmo 58175,Map,Trail Map,Common,Leatherworking,Bramblefold hedges,Simple navigation aid that points to micro-locations.,item_58175.png
58176,Lanternlit Hook 58176,Ingredient,Mushroom,Common,Herbalism,Deepwatch,Common crafting input used across cooking and alchemy.,item_58176.png
58177,Pilgrim's Compass 58177,Alchemy,Catalyst,Uncommon,Mining,Glimmerdeep canals,Reliable reagent for low to mid-tier mixtures.,item_58177.png
58178,Lanternlit Buckle 58178,Curio,Token,Common,Tailoring,Frostbriar trails,Flavor drop that feeds quests vendors and collectors.,item_58178.png
58179,Oathforged Totem 58179,Profession Tool,Tailor Kit,Common,Smithing,Deepwatch,Starter kit enabling profession actions.,item_58179.png
58180,Rivercut Stitch 58180,Alchemy,Essence,Common,Alchemy,Saltmarrow tidepools,Reliable reagent for low to mid-tier mixtures.,item_58180.png
58181,Mireborn Band 58181,Map,Trail Map,Common,Alchemy,Emberford markets,Simple navigation aid that points to micro-locations.,item_58181.png
58182,Glimmering Pike 58182,Trophy,Claw,Uncommon,Alchemy,Ashen Ridge terraces,Monster proof used for bounties and turn-ins.,item_58182.png
58183,Ashen Brew 58183,Trophy,Claw,Common,Tailoring,Frost Caverns,Monster proof used for bounties and turn-ins.,item_58183.png
58184,Market Fillet 58184,Consumable,Tea,Common,Fishing,Glimmerdeep shore,Everyday field supply that reduces downtime.,item_58184.png
58185,Mireborn Tonic 58185,Trinket,Charm,Common,Mining,Duskhollow bogs,Minor passive charm with low-power utility.,item_58185.png
58186,Saltstained Brew 58186,Quest,Quest Item,Common,Enchanting,Emberford markets,Objective item for contracts and errands.,item_58186.png
58187,Bramble Brew 58187,Curio,Oddity,Common,Alchemy,Duskhollow bogs,Flavor drop that feeds quests vendors and collectors.,item_58187.png
58188,Bramble Ration 58188,Profession Tool,Tailor Kit,Common,None,Glimmerdeep shore,Starter kit enabling profession actions.,item_58188.png
58189,Rivercut Stitch 58189,Toy,Wooden Doll,Rare,Engineering,Emberford markets,Harmless fun item with small social value.,item_58189.png
58190,Hearthworn Stitch 58190,Material,Ingot,Common,Herbalism,Saltmarrow strand,Core trade material used in many early recipes.,item_58190.png
58191,Cinder Brew 58191,World Object,Cairn,Uncommon,Smithing,Emberford outskirts,Placeable/interactive world piece for events.,item_58191.png
58192,Glimmering Ration 58192,Trinket,Charm,Common,Herbalism,Emberford outskirts,Minor passive charm with low-power utility.,item_58192.png
58193,Cinder Cog 58193,Profession Tool,Tailor Kit,Common,Tailoring,Ashen Ridge terraces,Starter kit enabling profession actions.,item_58193.png
58194,Dusk Pike 58194,World Object,Cairn,Uncommon,Mining,Frost Caverns,Placeable/interactive world piece for events.,item_58194.png
58195,Market Hook 58195,World Object,Cache,Common,Cooking,Deepwatch,Placeable/interactive world piece for events.,item_58195.png
58196,Ashen Ink 58196,Material,Thread,Common,Tailoring,Saltmarrow tidepools,Core trade material used in many early recipes.,item_58196.png
58197,Warden's Needle 58197,World Object,Totem,Uncommon,Smithing,Saltmarrow tidepools,Placeable/interactive world piece for events.,item_58197.png
58198,Market Knife Bracers 58198,Gear,Plate Bracers,Common,Tailoring,Ashen Ridge terraces,Baseline leveling piece with steady stats and simple flavor.,item_58198.png
58199,Mireborn Totem 58199,Alchemy,Catalyst,Common,Enchanting,Deepwatch,Reliable reagent for low to mid-tier mixtures.,item_58199.png
58200,Frostbound Fillet 58200,Material,Thread,Uncommon,Enchanting,Saltmarrow tidepools,Core trade material used in many early recipes.,item_58200.png
58201,Ashen Gizmo 58201,Tool,Knife,Common,Engineering,Frost Caverns,Utility item for travel salvage and exploration.,item_58201.png
58202,Dusk Needle 58202,Key,Salt Key,Common,Cooking,Emberford outskirts,Basic key used for side doors and caches.,item_58202.png
58203,Rivercut Cairn 58203,Map,Ruin Sketch,Common,Fishing,Bramblefold hedges,Simple navigation aid that points to micro-locations.,item_58203.png
58204,Frostbound Balm Gloves 58204,Gear,Cloth Gloves,Uncommon,Jewelry,Ashen Ridge terraces,Baseline leveling piece with steady stats and simple flavor.,item_58204.png
