id,name,category,subcategory,rarity,professions,region,short_uses,file_name
40036,Tide-taken Spool,Profession Tool,Kit,Uncommon,Fishing,Glimmerdeep,Quest hook: supports leveling.,profession_tool_tide_taken_spool.png
40037,Cinder-scarred Shard,Material,Timber,Uncommon,Leatherworking,Hollowroot,Craft input: feeds a rumor.,material_cinder_scarred_shard.png
40038,Greatwood Hood,Curio,Signet,Uncommon,Jewelry,Frostbriar,Utility piece: fills a gear gap.,curio_greatwood_hood.png
40039,Ash-dusted Ledger Page,Ingredient,Root,Common,Alchemy,Saltmarrow,Vendor staple: enables a recipe chain.,ingredient_ash_dusted_ledger_page.png
40040,River-smooth Helm,Material,Stone,Uncommon,Tailoring,Marketwalk,Vendor staple: keeps you moving.,material_river_smooth_helm.png
40041,Warden's Wanted Poster,Gear,Boots,Common,Woodworking,Saltmarrow,Utility piece: enables a recipe chain.,gear_warden_s_wanted_poster.png
40042,Storm-bit Bandage Roll,Gear,Belt,Uncommon,Smithing,Glimmerdeep,Field use: gates a shortcut.,gear_storm_bit_bandage_roll.png
40043,Tide-taken Vest,World Object,Interactable,Uncommon,—,Saltmarrow,Loot filler: supports leveling.,world_object_tide_taken_vest.png
40044,Briarbound Lantern,Gear,Legs,Uncommon,Tailoring,Emberford,Utility piece: keeps you moving.,gear_briarbound_lantern.png
40045,Saltmarrow Bottle,Ingredient,Oil,Rare,Herbalism,Emberford,Craft input: supports leveling.,ingredient_saltmarrow_bottle.png
40046,Warden's Canteen,Curio,Mask,Uncommon,Enchanting,Greatwood,Utility piece: gates a shortcut.,curio_warden_s_canteen.png
40047,Ash-dusted Ingot,Curio,Totem,Uncommon,Enchanting,Frostbriar,Loot filler: supports leveling.,curio_ash_dusted_ingot.png
40048,Cinder-scarred Stew,Gear,Belt,Common,Woodworking,Frostbriar,Utility piece: supports leveling.,gear_cinder_scarred_stew.png
40049,River-smooth Ore,Ingredient,Grain,Rare,Cooking,Greatwood,Utility piece: fills a gear gap.,ingredient_river_smooth_ore.png
40050,River-smooth Tincture,Ingredient,Herb,Uncommon,Cooking,Hollowroot,Field use: keeps you moving.,ingredient_river_smooth_tincture.png
40051,Sun-bleached Belt,Material,Stone,Uncommon,Mining,Glimmerdeep,Loot filler: fills a gear gap.,material_sun_bleached_belt.png
40052,Frostworn Hood,Gear,Axe,Uncommon,Smithing,Emberford,Vendor staple: feeds a rumor.,gear_frostworn_hood.png
40053,Ash-dusted Keybone,Gear,Chest,Common,Smithing,Hollowroot,Quest hook: enables a recipe chain.,gear_ash_dusted_keybone.png
40054,Storm-bit Pouch,Consumable,Tonic,Uncommon,Alchemy,Emberford,Loot filler: gates a shortcut.,consumable_storm_bit_pouch.png
40055,Gutterborn Vest,Document,Map,Uncommon,Scribing,Frostbriar,Vendor staple: enables a recipe chain.,document_gutterborn_vest.png
40056,Glimmerdeep Ration,Gear,Chest,Common,Jewelry,Marketwalk,Utility piece: supports leveling.,gear_glimmerdeep_ration.png
40057,Frostbriar Biscuit,Consumable,Tonic,Common,Alchemy,Hollowroot,Craft input: supports leveling.,consumable_frostbriar_biscuit.png
40058,Iron-banded Ring,Gear,Axe,Common,Smithing,Glimmerdeep,Loot filler: feeds a rumor.,gear_iron_banded_ring.png
40059,Gutterborn Buckler,Curio,Coin,Uncommon,Enchanting,Greatwood,Craft input: supports leveling.,curio_gutterborn_buckler.png
40060,Cinder-scarred Tincture,Consumable,Food,Uncommon,Cooking,Marketwalk,Field use: fills a gear gap.,consumable_cinder_scarred_tincture.png
40061,Moon-stitched Sash,Ingredient,Root,Common,Herbalism,Ashen Fields,Loot filler: fills a gear gap.,ingredient_moon_stitched_sash.png
40062,Storm-bit Hilt,Curio,Coin,Uncommon,Jewelry,Saltmarrow,Utility piece: feeds a rumor.,curio_storm_bit_hilt.png
40063,Frostbriar Wanted Poster,Material,Cloth,Uncommon,Skinning,Marketwalk,Utility piece: supports leveling.,material_frostbriar_wanted_poster.png
40064,Warden's Seed,Ingredient,Root,Common,Fishing,Glimmerdeep,Craft input: supports leveling.,ingredient_warden_s_seed.png
40065,Sun-bleached Lichen,Ingredient,Spice,Common,Alchemy,Marketwalk,Loot filler: keeps you moving.,ingredient_sun_bleached_lichen.png
40066,Tide-taken Lockpick,Gear,Boots,Rare,Jewelry,Frostbriar,Quest hook: feeds a rumor.,gear_tide_taken_lockpick.png
40067,Sun-bleached Coat,Material,Stone,Uncommon,Leatherworking,Emberford,Loot filler: supports leveling.,material_sun_bleached_coat.png
40068,Glimmerdeep Lantern,Ingredient,Meat,Common,Cooking,Greatwood,Utility piece: supports leveling.,ingredient_glimmerdeep_lantern.png
40069,Gutterborn Boots,Curio,Charm,Uncommon,Scribing,Frostbriar,Field use: gates a shortcut.,curio_gutterborn_boots.png
40070,Gutterborn Seed,Material,Resin,Common,Tailoring,Emberford,Loot filler: enables a recipe chain.,material_gutterborn_seed.png
40071,Sun-bleached Tea,Ingredient,Fish,Uncommon,Fishing,Glimmerdeep,Loot filler: keeps you moving.,ingredient_sun_bleached_tea.png
40072,Harbor-wet Wanted Poster,Consumable,Food,Common,Alchemy,Frostbriar,Field use: supports leveling.,consumable_harbor_wet_wanted_poster.png
40073,Cinder-scarred Pouch,Gear,Sword,Uncommon,Smithing,Marketwalk,Utility piece: keeps you moving.,gear_cinder_scarred_pouch.png
40074,Frostbriar Shard,Material,Cloth,Uncommon,Woodworking,Saltmarrow,Quest hook: fills a gear gap.,material_frostbriar_shard.png
40075,Frostworn Petal,Profession Tool,Implement,Common,Tailoring,Greatwood,Loot filler: gates a shortcut.,profession_tool_frostworn_petal.png
40076,Saltglass Trinket,Gear,Wand,Uncommon,Tailoring,Glimmerdeep,Quest hook: keeps you moving.,gear_saltglass_trinket.png
40077,Greatwood Lichen,Ingredient,Fish,Common,Fishing,Frostbriar,Loot filler: feeds a rumor.,ingredient_greatwood_lichen.png
40078,Sun-bleached Tincture,Gear,Legs,Uncommon,Jewelry,Hollowroot,Quest hook: fills a gear gap.,gear_sun_bleached_tincture.png
40079,Tide-taken Root,Curio,Figurine,Uncommon,Jewelry,Ashen Fields,Craft input: keeps you moving.,curio_tide_taken_root.png
40080,Tide-taken Ring,Ingredient,Meat,Uncommon,Alchemy,Greatwood,Vendor staple: keeps you moving.,ingredient_tide_taken_ring.png
40081,Pilgrim's Compass,Material,Stone,Common,Tailoring,Hollowroot,Vendor staple: enables a recipe chain.,material_pilgrim_s_compass.png
40082,Amberwake Salve,Curio,Signet,Uncommon,Jewelry,Glimmerdeep,Craft input: gates a shortcut.,curio_amberwake_salve.png
40083,Greatwood Map Scrap,Ingredient,Oil,Common,Alchemy,Marketwalk,Loot filler: keeps you moving.,ingredient_greatwood_map_scrap.png
40084,Saltglass Sash,Gear,Wand,Uncommon,Jewelry,Ashen Fields,Loot filler: fills a gear gap.,gear_saltglass_sash.png
40085,Pilgrim's Lockpick,Material,Glass,Common,Mining,Marketwalk,Vendor staple: enables a recipe chain.,material_pilgrim_s_lockpick.png
40086,Saltmarrow Coat,Ingredient,Root,Common,Alchemy,Saltmarrow,Craft input: supports leveling.,ingredient_saltmarrow_coat.png
40087,Briarbound Pod,Consumable,Tonic,Rare,Alchemy,Emberford,Vendor staple: supports leveling.,consumable_briarbound_pod.png
40088,Silt-grit Vest,Ingredient,Oil,Common,Alchemy,Hollowroot,Utility piece: supports leveling.,ingredient_silt_grit_vest.png
40089,Tide-taken Pod,Consumable,Potion,Uncommon,Cooking,Marketwalk,Loot filler: feeds a rumor.,consumable_tide_taken_pod.png
40090,Iron-banded Hook,Ingredient,Herb,Uncommon,Fishing,Glimmerdeep,Loot filler: feeds a rumor.,ingredient_iron_banded_hook.png
40091,Tide-taken Petal,Gear,Axe,Common,Smithing,Glimmerdeep,Craft input: keeps you moving.,gear_tide_taken_petal.png
40092,Hollowroot Stew,Material,Glass,Common,Alchemy,Greatwood,Loot filler: feeds a rumor.,material_hollowroot_stew.png
40093,Hollowroot Token,Ingredient,Salt,Common,Herbalism,Glimmerdeep,Craft input: gates a shortcut.,ingredient_hollowroot_token.png
40094,Lantern-lit Vest,Gear,Mace,Common,Smithing,Glimmerdeep,Craft input: keeps you moving.,gear_lantern_lit_vest.png
40095,Cinder-scarred Pod,Ingredient,Salt,Common,Herbalism,Hollowroot,Utility piece: feeds a rumor.,ingredient_cinder_scarred_pod.png
40096,Greatwood Boots,Gear,Wand,Uncommon,Woodworking,Emberford,Loot filler: keeps you moving.,gear_greatwood_boots.png
40097,Harbor-wet Token,Material,Timber,Uncommon,Leatherworking,Saltmarrow,Vendor staple: fills a gear gap.,material_harbor_wet_token.png
40098,Moon-stitched Lockpick,Consumable,Bandage,Common,Alchemy,Hollowroot,Utility piece: feeds a rumor.,consumable_moon_stitched_lockpick.png
40099,Hollowroot Pin,World Object,Marker,Common,—,Greatwood,Utility piece: enables a recipe chain.,world_object_hollowroot_pin.png
40100,Glimmerdeep Trophy Fang,Material,Ore,Common,Smithing,Frostbriar,Utility piece: enables a recipe chain.,material_glimmerdeep_trophy_fang.png
40101,Moon-stitched Root,Material,Timber,Common,Woodworking,Saltmarrow,Quest hook: feeds a rumor.,material_moon_stitched_root.png
40102,Sun-bleached Lichen,Consumable,Potion,Common,Cooking,Ashen Fields,Utility piece: keeps you moving.,consumable_sun_bleached_lichen.png
40103,Saltglass Sash,Curio,Totem,Uncommon,Jewelry,Greatwood,Quest hook: keeps you moving.,curio_saltglass_sash.png
40104,Frostbriar Thread,Material,Stone,Common,Leatherworking,Frostbriar,Utility piece: fills a gear gap.,material_frostbriar_thread.png
40105,Hollowroot Permit Slip,Material,Ore,Common,Tailoring,Marketwalk,Utility piece: feeds a rumor.,material_hollowroot_permit_slip.png
40106,Saltglass Hilt,Consumable,Tea,Common,Alchemy,Marketwalk,Field use: keeps you moving.,consumable_saltglass_hilt.png
40107,Saltglass Vest,Alchemy Item,Catalyst,Uncommon,Alchemy,Frostbriar,Quest hook: feeds a rumor.,alchemy_item_saltglass_vest.png
40108,Ash-dusted Cloak,Gear,Dagger,Common,Smithing,Saltmarrow,Loot filler: gates a shortcut.,gear_ash_dusted_cloak.png
40109,Iron-banded Biscuit,Ingredient,Grain,Uncommon,Herbalism,Marketwalk,Quest hook: supports leveling.,ingredient_iron_banded_biscuit.png
40110,River-smooth Wanted Poster,Ingredient,Salt,Uncommon,Alchemy,Greatwood,Vendor staple: fills a gear gap.,ingredient_river_smooth_wanted_poster.png
40111,Tide-taken Boots,Ingredient,Herb,Uncommon,Fishing,Marketwalk,Craft input: feeds a rumor.,ingredient_tide_taken_boots.png
40112,Storm-bit Ingot,Material,Stone,Common,Leatherworking,Marketwalk,Vendor staple: supports leveling.,material_storm_bit_ingot.png
40113,Frostbriar Leather Strip,Key,Shrine,Common,—,Frostbriar,Vendor staple: gates a shortcut.,key_frostbriar_leather_strip.png
40114,Greatwood Bottle,Material,Glass,Rare,Woodworking,Marketwalk,Field use: supports leveling.,material_greatwood_bottle.png
40115,Moon-stitched Spool,Material,Pigment,Uncommon,Leatherworking,Marketwalk,Field use: gates a shortcut.,material_moon_stitched_spool.png
40116,River-smooth Lichen,Gear,Staff,Common,Tailoring,Greatwood,Utility piece: keeps you moving.,gear_river_smooth_lichen.png
40117,Warden's Pendant,Curio,Signet,Common,Scribing,Marketwalk,Quest hook: keeps you moving.,curio_warden_s_pendant.png
40118,Saltglass Stew,Material,Cloth,Uncommon,Mining,Glimmerdeep,Loot filler: keeps you moving.,material_saltglass_stew.png
40119,Emberford Petal,Consumable,Elixir,Common,Cooking,Frostbriar,Field use: enables a recipe chain.,consumable_emberford_petal.png
40120,Mire-touched Biscuit,Curio,Totem,Common,Jewelry,Greatwood,Quest hook: gates a shortcut.,curio_mire_touched_biscuit.png
40121,Gutterborn Ring,Curio,Charm,Common,Enchanting,Emberford,Loot filler: fills a gear gap.,curio_gutterborn_ring.png
40122,Glimmerdeep Bandage Roll,Gear,Belt,Common,Woodworking,Marketwalk,Vendor staple: gates a shortcut.,gear_glimmerdeep_bandage_roll.png
40123,Tide-taken Petal,Material,Ingot,Rare,Woodworking,Greatwood,Utility piece: enables a recipe chain.,material_tide_taken_petal.png
40124,Iron-banded Spool,Material,Leather,Rare,Tailoring,Emberford,Loot filler: fills a gear gap.,material_iron_banded_spool.png
40125,Glimmerdeep Thread,Ingredient,Grain,Common,Fishing,Hollowroot,Field use: fills a gear gap.,ingredient_glimmerdeep_thread.png
40126,Saltmarrow Buckler,Curio,Signet,Rare,Enchanting,Hollowroot,Craft input: fills a gear gap.,curio_saltmarrow_buckler.png
40127,River-smooth Lantern,Curio,Charm,Common,Scribing,Saltmarrow,Utility piece: keeps you moving.,curio_river_smooth_lantern.png
40128,Pilgrim's Keybone,Tool,Travel,Common,Smithing,Saltmarrow,Field use: enables a recipe chain.,tool_pilgrim_s_keybone.png
40129,Storm-bit Shard,Ingredient,Fish,Common,Alchemy,Hollowroot,Craft input: enables a recipe chain.,ingredient_storm_bit_shard.png
40130,Warden's Compass,Trinket,Locket,Uncommon,Jewelry,Glimmerdeep,Loot filler: keeps you moving.,trinket_warden_s_compass.png
40131,Storm-bit Shard,Gear,Wand,Rare,Jewelry,Glimmerdeep,Loot filler: keeps you moving.,gear_storm_bit_shard.png
40132,Saltmarrow Lantern,Ingredient,Root,Common,Herbalism,Hollowroot,Quest hook: feeds a rumor.,ingredient_saltmarrow_lantern.png
40133,Iron-banded Charm,Curio,Totem,Uncommon,Enchanting,Ashen Fields,Quest hook: supports leveling.,curio_iron_banded_charm.png
40134,Saltglass Cloak,Consumable,Elixir,Uncommon,Alchemy,Greatwood,Field use: supports leveling.,consumable_saltglass_cloak.png
40135,Iron-banded Hook,Gear,Axe,Common,Smithing,Glimmerdeep,Craft input: fills a gear gap.,gear_iron_banded_hook.png
40136,Saltmarrow Lockpick,Gear,Belt,Uncommon,Woodworking,Greatwood,Quest hook: gates a shortcut.,gear_saltmarrow_lockpick.png
40137,Hollowroot Leather Strip,Consumable,Potion,Uncommon,Cooking,Hollowroot,Field use: gates a shortcut.,consumable_hollowroot_leather_strip.png
40138,Pilgrim's Spool,Ingredient,Meat,Rare,Herbalism,Ashen Fields,Quest hook: gates a shortcut.,ingredient_pilgrim_s_spool.png
40139,Ash-dusted Trinket,Ingredient,Fish,Common,Fishing,Marketwalk,Field use: gates a shortcut.,ingredient_ash_dusted_trinket.png
40140,Warden's Biscuit,Gear,Sword,Common,Smithing,Saltmarrow,Quest hook: supports leveling.,gear_warden_s_biscuit.png
40141,Cinder-scarred Lichen,Gear,Pendant,Uncommon,Leatherworking,Saltmarrow,Quest hook: keeps you moving.,gear_cinder_scarred_lichen.png
40142,Lantern-lit Hook,Ingredient,Spice,Common,Alchemy,Frostbriar,Craft input: keeps you moving.,ingredient_lantern_lit_hook.png
40143,River-smooth Token,Ingredient,Mushroom,Common,Fishing,Saltmarrow,Utility piece: feeds a rumor.,ingredient_river_smooth_token.png
40144,Pilgrim's Helm,Material,Ingot,Common,Woodworking,Glimmerdeep,Loot filler: fills a gear gap.,material_pilgrim_s_helm.png
40145,Glimmerdeep Hood,Ingredient,Salt,Uncommon,Cooking,Hollowroot,Loot filler: gates a shortcut.,ingredient_glimmerdeep_hood.png
40146,Ash-dusted Buckler,Tool,Camp,Common,Smithing,Marketwalk,Field use: keeps you moving.,tool_ash_dusted_buckler.png
40147,Hollowroot Pendant,Ingredient,Spice,Common,Cooking,Ashen Fields,Loot filler: fills a gear gap.,ingredient_hollowroot_pendant.png
40148,Ash-dusted Canteen,Material,Resin,Uncommon,Alchemy,Glimmerdeep,Utility piece: gates a shortcut.,material_ash_dusted_canteen.png
40149,Sun-bleached Hilt,Curio,Coin,Rare,Scribing,Emberford,Loot filler: enables a recipe chain.,curio_sun_bleached_hilt.png
40150,Warden's Plank,Curio,Figurine,Uncommon,Jewelry,Ashen Fields,Utility piece: enables a recipe chain.,curio_warden_s_plank.png
40151,Harbor-wet Nail,Ingredient,Spice,Common,Herbalism,Greatwood,Field use: gates a shortcut.,ingredient_harbor_wet_nail.png
40152,Storm-bit Vest,Consumable,Tea,Common,Cooking,Ashen Fields,Utility piece: keeps you moving.,consumable_storm_bit_vest.png
40153,Hollowroot Petal,Ingredient,Fish,Rare,Cooking,Ashen Fields,Field use: fills a gear gap.,ingredient_hollowroot_petal.png
40154,Ash-dusted Ore,Material,Timber,Common,Mining,Ashen Fields,Field use: enables a recipe chain.,material_ash_dusted_ore.png
40155,Frostbriar Totem,Material,Glass,Common,Skinning,Frostbriar,Quest hook: gates a shortcut.,material_frostbriar_totem.png
40156,Emberford Permit Slip,Curio,Totem,Common,Enchanting,Hollowroot,Vendor staple: enables a recipe chain.,curio_emberford_permit_slip.png
40157,Harbor-wet Bottle,Gear,Staff,Uncommon,Smithing,Frostbriar,Field use: gates a shortcut.,gear_harbor_wet_bottle.png
40158,Lantern-lit Shard,Material,Glass,Common,Woodworking,Hollowroot,Utility piece: enables a recipe chain.,material_lantern_lit_shard.png
40159,Silt-grit Bottle,Curio,Coin,Common,Scribing,Saltmarrow,Quest hook: keeps you moving.,curio_silt_grit_bottle.png
40160,Iron-banded Belt,Consumable,Tonic,Uncommon,Alchemy,Marketwalk,Loot filler: enables a recipe chain.,consumable_iron_banded_belt.png
40161,Ash-dusted Pod,Gear,Ring,Common,Tailoring,Marketwalk,Quest hook: gates a shortcut.,gear_ash_dusted_pod.png
40162,Silt-grit Bandage Roll,Ingredient,Mushroom,Rare,Herbalism,Emberford,Vendor staple: supports leveling.,ingredient_silt_grit_bandage_roll.png
40163,Frostworn Buckler,Consumable,Tonic,Common,Alchemy,Greatwood,Craft input: supports leveling.,consumable_frostworn_buckler.png
40164,Saltmarrow Pin,Ingredient,Mushroom,Common,Fishing,Greatwood,Field use: feeds a rumor.,ingredient_saltmarrow_pin.png
40165,Emberford Pendant,Quest Item,Seal,Uncommon,—,Greatwood,Vendor staple: keeps you moving.,quest_item_emberford_pendant.png
40166,Hollowroot Pommel,Ingredient,Fruit,Uncommon,Alchemy,Ashen Fields,Field use: feeds a rumor.,ingredient_hollowroot_pommel.png
40167,Amberwake Nail,Curio,Charm,Uncommon,Jewelry,Greatwood,Vendor staple: gates a shortcut.,curio_amberwake_nail.png
40168,Greatwood Hook,Ingredient,Fruit,Common,Alchemy,Emberford,Vendor staple: enables a recipe chain.,ingredient_greatwood_hook.png
40169,Mire-touched Tea,Consumable,Elixir,Common,Cooking,Emberford,Craft input: fills a gear gap.,consumable_mire_touched_tea.png
40170,Frostbriar Pendant,Gear,Mace,Common,Smithing,Marketwalk,Loot filler: fills a gear gap.,gear_frostbriar_pendant.png
40171,Greatwood Seed,Consumable,Potion,Uncommon,Alchemy,Saltmarrow,Loot filler: keeps you moving.,consumable_greatwood_seed.png
40172,Silt-grit Ore,Material,Leather,Common,Skinning,Glimmerdeep,Vendor staple: feeds a rumor.,material_silt_grit_ore.png
40173,Harbor-wet Cloak,Material,Ore,Uncommon,Leatherworking,Glimmerdeep,Quest hook: fills a gear gap.,material_harbor_wet_cloak.png
40174,Saltmarrow Pin,Material,Resin,Common,Alchemy,Marketwalk,Quest hook: gates a shortcut.,material_saltmarrow_pin.png
40175,Silt-grit Hilt,Gear,Cloak,Common,Smithing,Glimmerdeep,Vendor staple: gates a shortcut.,gear_silt_grit_hilt.png
40176,Moon-stitched Hilt,Gear,Bow,Common,Tailoring,Saltmarrow,Vendor staple: enables a recipe chain.,gear_moon_stitched_hilt.png
40177,Glimmerdeep Belt,Trophy,Horn,Uncommon,—,Frostbriar,Utility piece: gates a shortcut.,trophy_glimmerdeep_belt.png
40178,Gutterborn Pod,Ingredient,Fruit,Common,Cooking,Hollowroot,Utility piece: gates a shortcut.,ingredient_gutterborn_pod.png
40179,Tide-taken Sash,Alchemy Item,Catalyst,Common,Alchemy,Saltmarrow,Vendor staple: enables a recipe chain.,alchemy_item_tide_taken_sash.png
40180,Harbor-wet Petal,Trophy,Claw,Uncommon,—,Greatwood,Utility piece: enables a recipe chain.,trophy_harbor_wet_petal.png
40181,Saltmarrow Lantern,Curio,Signet,Uncommon,Scribing,Glimmerdeep,Utility piece: gates a shortcut.,curio_saltmarrow_lantern.png
40182,Lantern-lit Ration,Material,Stone,Common,Smithing,Ashen Fields,Loot filler: supports leveling.,material_lantern_lit_ration.png
40183,Ash-dusted Helm,Ingredient,Spice,Common,Alchemy,Frostbriar,Utility piece: enables a recipe chain.,ingredient_ash_dusted_helm.png
40184,Mire-touched Vial,Curio,Coin,Uncommon,Enchanting,Saltmarrow,Utility piece: fills a gear gap.,curio_mire_touched_vial.png
40185,Sun-bleached Shard,Curio,Charm,Common,Scribing,Emberford,Loot filler: fills a gear gap.,curio_sun_bleached_shard.png
40186,Saltglass Compass,Ingredient,Meat,Common,Alchemy,Marketwalk,Craft input: enables a recipe chain.,ingredient_saltglass_compass.png
40187,Saltglass Wanted Poster,Consumable,Bandage,Common,Alchemy,Greatwood,Quest hook: fills a gear gap.,consumable_saltglass_wanted_poster.png
40188,Mire-touched Tea,Ingredient,Spice,Uncommon,Alchemy,Frostbriar,Utility piece: feeds a rumor.,ingredient_mire_touched_tea.png
40189,Amberwake Trinket,Curio,Coin,Uncommon,Enchanting,Glimmerdeep,Vendor staple: keeps you moving.,curio_amberwake_trinket.png
40190,Mire-touched Trophy Fang,Consumable,Tonic,Uncommon,Alchemy,Greatwood,Field use: supports leveling.,consumable_mire_touched_trophy_fang.png
40191,Gutterborn Helm,Curio,Totem,Common,Enchanting,Ashen Fields,Craft input: feeds a rumor.,curio_gutterborn_helm.png
40192,Ash-dusted Trophy Fang,Quest Item,Parcel,Common,—,Ashen Fields,Craft input: supports leveling.,quest_item_ash_dusted_trophy_fang.png
40193,Iron-banded Hilt,Gear,Cloak,Uncommon,Leatherworking,Frostbriar,Field use: keeps you moving.,gear_iron_banded_hilt.png
40194,Saltglass Biscuit,Ingredient,Spice,Common,Herbalism,Hollowroot,Field use: keeps you moving.,ingredient_saltglass_biscuit.png
40195,Iron-banded Belt,Ingredient,Salt,Common,Herbalism,Frostbriar,Utility piece: fills a gear gap.,ingredient_iron_banded_belt.png
40196,Hollowroot Ore,Material,Timber,Common,Leatherworking,Emberford,Quest hook: feeds a rumor.,material_hollowroot_ore.png
40197,Pilgrim's Tally,Gear,Mace,Common,Smithing,Frostbriar,Loot filler: feeds a rumor.,gear_pilgrim_s_tally.png
40198,Frostworn Ore,Gear,Gloves,Common,Woodworking,Glimmerdeep,Vendor staple: supports leveling.,gear_frostworn_ore.png
40199,Saltmarrow Permit Slip,Consumable,Elixir,Uncommon,Cooking,Ashen Fields,Craft input: keeps you moving.,consumable_saltmarrow_permit_slip.png
