id,name,category,subcategory,rarity,professions,region,short_uses,file_name
74059,Stormbit Cloak,Material,Ingot,Common,Tailoring,Frostbriar_Reach,Common drop from humanoids and beasts; fuels crafting loops.,material_stormbit_cloak_74059.png
74060,Sun-bleached Lantern,Quest,Quest Item,Rare,Enchanting,Saltmarrow_Strand,Utility item that supports exploration and downtime.,quest_sun_bleached_lantern_74060.png
74061,Ashen Bandage,Gear,Mail,Rare,Tailoring,Saltmarrow_Strand,Utility item that supports exploration and downtime.,gear_ashen_bandage_74061.png
74062,Briarbound Gambeson,Tool,Utility,Uncommon,Alchemy,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,tool_briarbound_gambeson_74062.png
74063,Emberlit Hatchet (III),Gear,Mail,Rare,Mining,Frostbriar_Reach,Common drop from humanoids and beasts; fuels crafting loops.,gear_emberlit_hatchet_iii_74063.png
74064,Glimmering Ingot (I),Consumable,Food,Uncommon,Alchemy,Emberford_Marketwalk,Utility item that supports exploration and downtime.,consumable_glimmering_ingot_i_74064.png
74065,Glimmering Cloak,Gear,Mail,Uncommon,Mining,Glimmerdeep_Mire,Baseline vendor stock; reliable in the first tiers.,gear_glimmering_cloak_74065.png
74066,Stormbit Lantern (I),Gear,Mail,Common,Woodworking,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,gear_stormbit_lantern_i_74066.png
74067,Briarbound Ingot,Ingredient,Herb,Common,Smithing,Saltmarrow_Strand,Crafting component used across multiple recipes.,ingredient_briarbound_ingot_74067.png
74068,Frosted Gloves,Gear,Staff,Uncommon,None,Frostbriar_Reach,Crafting component used across multiple recipes.,gear_frosted_gloves_74068.png
74069,Saltworn Ring (II),Gear,Bow,Uncommon,Tailoring,Frostbriar_Reach,Crafting component used across multiple recipes.,gear_saltworn_ring_ii_74069.png
74070,Sun-bleached Ring,Trinket,Charm,Uncommon,Cooking,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,trinket_sun_bleached_ring_74070.png
74071,Dusk-hushed Vial,Ingredient,Hide,Uncommon,Alchemy,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,ingredient_dusk_hushed_vial_74071.png
74072,Stormbit Bandage,Material,Thread,Uncommon,Smithing,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,material_stormbit_bandage_74072.png
74073,Emberlit Ring,Gear,Shield,Common,None,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,gear_emberlit_ring_74073.png
74074,Ashen Ration (III),Map,Map,Uncommon,Mining,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,map_ashen_ration_iii_74074.png
74075,Marketfresh Cuirass (IV),Gear,Sword,Common,Cooking,Frostbriar_Reach,Utility item that supports exploration and downtime.,gear_marketfresh_cuirass_iv_74075.png
74076,Saltworn Gambeson,Ingredient,Wood,Uncommon,Mining,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,ingredient_saltworn_gambeson_74076.png
74077,Mire-slick Salve,Material,Ingot,Uncommon,Cooking,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,material_mire_slick_salve_74077.png
74078,Gravemark Amulet,Ingredient,Herb,Uncommon,None,Saltmarrow_Strand,Crafting component used across multiple recipes.,ingredient_gravemark_amulet_74078.png
74079,Briarbound Cloak,Gear,Mail,Rare,Smithing,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,gear_briarbound_cloak_74079.png
74080,Glimmering Gloves (IV),Quest,Quest Item,Rare,Enchanting,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,quest_glimmering_gloves_iv_74080.png
74081,Marketfresh Hatchet,Gear,Mail,Uncommon,Smithing,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,gear_marketfresh_hatchet_74081.png
74082,Mire-slick Charm (III),Consumable,Food,Uncommon,Herbalism,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,consumable_mire_slick_charm_iii_74082.png
74083,Glimmering Vial,Map,Map,Uncommon,Smithing,Frostbriar_Reach,Baseline vendor stock; reliable in the first tiers.,map_glimmering_vial_74083.png
74084,Glimmering Map,Gear,Bow,Common,Alchemy,Frostbriar_Reach,Common drop from humanoids and beasts; fuels crafting loops.,gear_glimmering_map_74084.png
74085,Gravemark Hatchet,Tool,Utility,Common,Herbalism,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,tool_gravemark_hatchet_74085.png
74086,Marketfresh Staff (IV),Material,Leatherworking,Common,None,Saltmarrow_Strand,Common drop from humanoids and beasts; fuels crafting loops.,material_marketfresh_staff_iv_74086.png
74087,Sun-bleached Salve,Gear,Cloth,Uncommon,Herbalism,Emberford_Marketwalk,Crafting component used across multiple recipes.,gear_sun_bleached_salve_74087.png
74088,Saltworn Bandage,Ingredient,Hide,Common,Enchanting,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,ingredient_saltworn_bandage_74088.png
74089,Stormbit Hatchet,Key,Key,Uncommon,Woodworking,Glimmerdeep_Mire,Baseline vendor stock; reliable in the first tiers.,key_stormbit_hatchet_74089.png
74090,Briarbound Ring (IV),Gear,Axe,Uncommon,Cooking,Frostbriar_Reach,Utility item that supports exploration and downtime.,gear_briarbound_ring_iv_74090.png
74091,Stormbit Staff,Material,Leatherworking,Common,Leatherworking,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,material_stormbit_staff_74091.png
74092,Gravemark Ingot,Key,Key,Common,Cooking,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,key_gravemark_ingot_74092.png
74093,Sun-bleached Amulet (IV),Gear,Plate,Common,Tailoring,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,gear_sun_bleached_amulet_iv_74093.png
74094,Saltworn Salve,Consumable,Bandage,Common,Mining,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,consumable_saltworn_salve_74094.png
74095,Sun-bleached Hatchet (I),Material,Leatherworking,Uncommon,Herbalism,Glimmerdeep_Mire,Baseline vendor stock; reliable in the first tiers.,material_sun_bleached_hatchet_i_74095.png
74096,Emberlit Cuirass (I),Gear,Cloth,Common,Herbalism,Frostbriar_Reach,Uncommon upgrade that rounds out leveling builds.,gear_emberlit_cuirass_i_74096.png
74097,Frosted Shortsword,Gear,Leather,Uncommon,Leatherworking,Emberford_Marketwalk,Crafting component used across multiple recipes.,gear_frosted_shortsword_74097.png
74098,Marketfresh Vial (III),Gear,Staff,Uncommon,Mining,Emberford_Marketwalk,Utility item that supports exploration and downtime.,gear_marketfresh_vial_iii_74098.png
74099,Sun-bleached Bandage (IV),Ingredient,Hide,Uncommon,Mining,Frostbriar_Reach,Utility item that supports exploration and downtime.,ingredient_sun_bleached_bandage_iv_74099.png
74100,Stormbit Longbow (I),Gear,Bow,Rare,Alchemy,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,gear_stormbit_longbow_i_74100.png
74101,Gravemark Vial (III),Gear,Axe,Rare,None,Emberford_Marketwalk,Utility item that supports exploration and downtime.,gear_gravemark_vial_iii_74101.png
74102,Emberlit Cloak (IV),Key,Key,Uncommon,Enchanting,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,key_emberlit_cloak_iv_74102.png
74103,Dusk-hushed Hatchet,Material,Leatherworking,Common,Mining,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,material_dusk_hushed_hatchet_74103.png
74104,Ashen Lockpick,Gear,Mace,Uncommon,Herbalism,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,gear_ashen_lockpick_74104.png
74105,Ashen Thread (III),Ingredient,Herb,Rare,None,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,ingredient_ashen_thread_iii_74105.png
74106,Briarbound Longbow,Ingredient,Herb,Rare,Tailoring,Glimmerdeep_Mire,Baseline vendor stock; reliable in the first tiers.,ingredient_briarbound_longbow_74106.png
74107,Mire-slick Lockpick,Consumable,Potion,Uncommon,Herbalism,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,consumable_mire_slick_lockpick_74107.png
74108,Glimmering Staff,Gear,Bow,Uncommon,Woodworking,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,gear_glimmering_staff_74108.png
74109,Dusk-hushed Amulet,Ingredient,Herb,Uncommon,Leatherworking,Glimmerdeep_Mire,Utility item that supports exploration and downtime.,ingredient_dusk_hushed_amulet_74109.png
74110,Saltworn Staff,Gear,Leather,Rare,Enchanting,Frostbriar_Reach,Crafting component used across multiple recipes.,gear_saltworn_staff_74110.png
74111,Frosted Key (I),Gear,Dagger,Common,None,Emberford_Marketwalk,Utility item that supports exploration and downtime.,gear_frosted_key_i_74111.png
74112,Sun-bleached Lockpick (IV),Profession Tool,Kit,Uncommon,Enchanting,Frostbriar_Reach,Crafting component used across multiple recipes.,profession tool_sun_bleached_lockpick_iv_74112.png
74113,Mire-slick Key,Consumable,Potion,Rare,Cooking,Frostbriar_Reach,Uncommon upgrade that rounds out leveling builds.,consumable_mire_slick_key_74113.png
74114,Briarbound Gambeson,Consumable,Bandage,Common,Herbalism,Frostbriar_Reach,Uncommon upgrade that rounds out leveling builds.,consumable_briarbound_gambeson_74114.png
74115,Briarbound Shortsword,Ingredient,Hide,Common,Herbalism,Saltmarrow_Strand,Utility item that supports exploration and downtime.,ingredient_briarbound_shortsword_74115.png
74116,Ashen Ring (III),Gear,Mail,Uncommon,Woodworking,Frostbriar_Reach,Crafting component used across multiple recipes.,gear_ashen_ring_iii_74116.png
74117,Emberlit Scroll,Gear,Polearm,Uncommon,Smithing,Saltmarrow_Strand,Common drop from humanoids and beasts; fuels crafting loops.,gear_emberlit_scroll_74117.png
74118,Saltworn Ration,Gear,Shield,Common,None,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,gear_saltworn_ration_74118.png
74119,Frosted Tonic,Gear,Leather,Common,Smithing,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,gear_frosted_tonic_74119.png
74120,Frosted Salve (I),Key,Key,Common,Alchemy,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,key_frosted_salve_i_74120.png
74121,Marketfresh Buckler,Ingredient,Ore,Uncommon,Smithing,Emberford_Marketwalk,Crafting component used across multiple recipes.,ingredient_marketfresh_buckler_74121.png
74122,Glimmering Boots (I),Gear,Axe,Uncommon,Smithing,Frostbriar_Reach,Crafting component used across multiple recipes.,gear_glimmering_boots_i_74122.png
74123,Briarbound Helm,Gear,Polearm,Uncommon,Enchanting,Frostbriar_Reach,Common drop from humanoids and beasts; fuels crafting loops.,gear_briarbound_helm_74123.png
74124,Glimmering Scroll,Material,Leatherworking,Uncommon,Cooking,Glimmerdeep_Mire,Utility item that supports exploration and downtime.,material_glimmering_scroll_74124.png
74125,Marketfresh Map,Material,Ingot,Common,Enchanting,Emberford_Marketwalk,Crafting component used across multiple recipes.,material_marketfresh_map_74125.png
74126,Saltworn Map (II),Ingredient,Herb,Rare,Smithing,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,ingredient_saltworn_map_ii_74126.png
74127,Briarbound Vial,Gear,Cloth,Common,Alchemy,Glimmerdeep_Mire,Baseline vendor stock; reliable in the first tiers.,gear_briarbound_vial_74127.png
74128,Mire-slick Tonic (IV),Gear,Plate,Rare,Tailoring,Saltmarrow_Strand,Utility item that supports exploration and downtime.,gear_mire_slick_tonic_iv_74128.png
74129,Sun-bleached Longbow,Trinket,Charm,Uncommon,None,Frostbriar_Reach,Utility item that supports exploration and downtime.,trinket_sun_bleached_longbow_74129.png
74130,Saltworn Buckler (IV),Ingredient,Hide,Uncommon,Leatherworking,Frostbriar_Reach,Utility item that supports exploration and downtime.,ingredient_saltworn_buckler_iv_74130.png
74131,Glimmering Map,Gear,Staff,Common,None,Glimmerdeep_Mire,Crafting component used across multiple recipes.,gear_glimmering_map_74131.png
74132,Emberlit Boots,Trinket,Charm,Uncommon,Herbalism,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,trinket_emberlit_boots_74132.png
74133,Ashen Key (II),Gear,Cloth,Uncommon,Herbalism,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,gear_ashen_key_ii_74133.png
74134,Emberlit Lantern (I),Ingredient,Ore,Common,Enchanting,Frostbriar_Reach,Crafting component used across multiple recipes.,ingredient_emberlit_lantern_i_74134.png
74135,Ashen Staff,Gear,Sword,Common,Woodworking,Frostbriar_Reach,Common drop from humanoids and beasts; fuels crafting loops.,gear_ashen_staff_74135.png
74136,Marketfresh Ingot (III),Consumable,Food,Uncommon,Woodworking,Saltmarrow_Strand,Crafting component used across multiple recipes.,consumable_marketfresh_ingot_iii_74136.png
74137,Marketfresh Longbow,Gear,Axe,Common,Smithing,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,gear_marketfresh_longbow_74137.png
74138,Frosted Lockpick,Material,Thread,Uncommon,Enchanting,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,material_frosted_lockpick_74138.png
74139,Stormbit Helm (I),Ingredient,Herb,Common,Enchanting,Saltmarrow_Strand,Common drop from humanoids and beasts; fuels crafting loops.,ingredient_stormbit_helm_i_74139.png
74140,Glimmering Salve,Material,Thread,Rare,Enchanting,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,material_glimmering_salve_74140.png
74141,Frosted Cuirass (III),Gear,Polearm,Common,Mining,Emberford_Marketwalk,Crafting component used across multiple recipes.,gear_frosted_cuirass_iii_74141.png
74142,Glimmering Vial,Gear,Bow,Common,Tailoring,Glimmerdeep_Mire,Baseline vendor stock; reliable in the first tiers.,gear_glimmering_vial_74142.png
74143,Glimmering Cloak,Tool,Utility,Common,Alchemy,Emberford_Marketwalk,Common drop from humanoids and beasts; fuels crafting loops.,tool_glimmering_cloak_74143.png
74144,Glimmering Scroll,Map,Map,Uncommon,Herbalism,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,map_glimmering_scroll_74144.png
74145,Gravemark Gloves,Gear,Plate,Uncommon,Tailoring,Frostbriar_Reach,Baseline vendor stock; reliable in the first tiers.,gear_gravemark_gloves_74145.png
74146,Emberlit Bandage,Map,Map,Uncommon,Cooking,Glimmerdeep_Mire,Crafting component used across multiple recipes.,map_emberlit_bandage_74146.png
74147,Glimmering Bandage (I),Ingredient,Hide,Common,None,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,ingredient_glimmering_bandage_i_74147.png
74148,Briarbound Buckler (IV),Ingredient,Ore,Common,Herbalism,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,ingredient_briarbound_buckler_iv_74148.png
74149,Dusk-hushed Lantern,Gear,Axe,Common,Mining,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,gear_dusk_hushed_lantern_74149.png
74150,Dusk-hushed Key,Consumable,Potion,Uncommon,Alchemy,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,consumable_dusk_hushed_key_74150.png
74151,Frosted Cloak (II),Consumable,Potion,Rare,Mining,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,consumable_frosted_cloak_ii_74151.png
74152,Emberlit Salve (I),Gear,Plate,Rare,None,Emberford_Marketwalk,Common drop from humanoids and beasts; fuels crafting loops.,gear_emberlit_salve_i_74152.png
74153,Briarbound Buckler,Material,Thread,Uncommon,Smithing,Glimmerdeep_Mire,Crafting component used across multiple recipes.,material_briarbound_buckler_74153.png
74154,Gravemark Lantern,Gear,Shield,Uncommon,Cooking,Frostbriar_Reach,Utility item that supports exploration and downtime.,gear_gravemark_lantern_74154.png
74155,Dusk-hushed Shortsword (IV),Material,Thread,Rare,Tailoring,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,material_dusk_hushed_shortsword_iv_74155.png
74156,Stormbit Gambeson,Gear,Dagger,Rare,Herbalism,Emberford_Marketwalk,Utility item that supports exploration and downtime.,gear_stormbit_gambeson_74156.png
74157,Gravemark Ingot,Quest,Quest Item,Uncommon,Cooking,Saltmarrow_Strand,Common drop from humanoids and beasts; fuels crafting loops.,quest_gravemark_ingot_74157.png
74158,Saltworn Amulet,Gear,Dagger,Rare,Herbalism,Frostbriar_Reach,Common drop from humanoids and beasts; fuels crafting loops.,gear_saltworn_amulet_74158.png
74159,Stormbit Salve,Consumable,Potion,Common,Herbalism,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,consumable_stormbit_salve_74159.png
74160,Stormbit Tonic,Map,Map,Uncommon,Smithing,Saltmarrow_Strand,Crafting component used across multiple recipes.,map_stormbit_tonic_74160.png
74161,Sun-bleached Charm,Material,Ingot,Common,Smithing,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,material_sun_bleached_charm_74161.png
74162,Stormbit Ration (III),Key,Key,Uncommon,Mining,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,key_stormbit_ration_iii_74162.png
74163,Emberlit Thread,Ingredient,Herb,Uncommon,Herbalism,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,ingredient_emberlit_thread_74163.png
74164,Emberlit Shortsword,Ingredient,Wood,Uncommon,Cooking,Emberford_Marketwalk,Crafting component used across multiple recipes.,ingredient_emberlit_shortsword_74164.png
74165,Stormbit Hatchet,Ingredient,Herb,Common,Mining,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,ingredient_stormbit_hatchet_74165.png
74166,Dusk-hushed Cloak,Profession Tool,Kit,Uncommon,Mining,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,profession tool_dusk_hushed_cloak_74166.png
74167,Marketfresh Ring (III),Document,Scroll,Uncommon,Cooking,Saltmarrow_Strand,Crafting component used across multiple recipes.,document_marketfresh_ring_iii_74167.png
74168,Ashen Salve,Tool,Utility,Rare,Mining,Glimmerdeep_Mire,Utility item that supports exploration and downtime.,tool_ashen_salve_74168.png
