id,name,category,subcategory,rarity,professions,region,short_uses,file_name
66015,Stormbit Gambeson (III),Gear,Mace,Uncommon,Cooking,Saltmarrow_Strand,Utility item that supports exploration and downtime.,gear_stormbit_gambeson_iii_66015.png
66016,Stormbit Shortsword (II),Gear,Leather,Common,Tailoring,Emberford_Marketwalk,Crafting component used across multiple recipes.,gear_stormbit_shortsword_ii_66016.png
66017,Dusk-hushed Map (IV),Tool,Utility,Rare,Woodworking,Frostbriar_Reach,Common drop from humanoids and beasts; fuels crafting loops.,tool_dusk_hushed_map_iv_66017.png
66018,Glimmering Buckler,Consumable,Potion,Common,Alchemy,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,consumable_glimmering_buckler_66018.png
66019,Stormbit Ration (II),Material,Thread,Common,Leatherworking,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,material_stormbit_ration_ii_66019.png
66020,Sun-bleached Bandage (III),Material,Leatherworking,Common,Tailoring,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,material_sun_bleached_bandage_iii_66020.png
66021,Sun-bleached Map (III),Map,Map,Rare,Smithing,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,map_sun_bleached_map_iii_66021.png
66022,Dusk-hushed Staff,Key,Key,Rare,None,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,key_dusk_hushed_staff_66022.png
66023,Gravemark Staff (IV),Consumable,Food,Rare,Cooking,Frostbriar_Reach,Uncommon upgrade that rounds out leveling builds.,consumable_gravemark_staff_iv_66023.png
66024,Gravemark Thread (II),Gear,Cloth,Rare,Cooking,Saltmarrow_Strand,Common drop from humanoids and beasts; fuels crafting loops.,gear_gravemark_thread_ii_66024.png
66025,Emberlit Ration (II),Material,Ingot,Rare,None,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,material_emberlit_ration_ii_66025.png
66026,Marketfresh Lockpick,Map,Map,Uncommon,None,Emberford_Marketwalk,Crafting component used across multiple recipes.,map_marketfresh_lockpick_66026.png
66027,Briarbound Key,Key,Key,Uncommon,Cooking,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,key_briarbound_key_66027.png
66028,Stormbit Ingot (III),Tool,Utility,Uncommon,Woodworking,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,tool_stormbit_ingot_iii_66028.png
66029,Saltworn Lockpick,Gear,Leather,Uncommon,None,Emberford_Marketwalk,Utility item that supports exploration and downtime.,gear_saltworn_lockpick_66029.png
66030,Mire-slick Scroll (III),Gear,Bow,Common,Woodworking,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,gear_mire_slick_scroll_iii_66030.png
66031,Glimmering Boots,Ingredient,Ore,Uncommon,Enchanting,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,ingredient_glimmering_boots_66031.png
66032,Dusk-hushed Helm,Document,Scroll,Rare,Leatherworking,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,document_dusk_hushed_helm_66032.png
66033,Briarbound Cloak (II),Gear,Shield,Common,Cooking,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,gear_briarbound_cloak_ii_66033.png
66034,Glimmering Shortsword,Gear,Staff,Common,Leatherworking,Frostbriar_Reach,Utility item that supports exploration and downtime.,gear_glimmering_shortsword_66034.png
66035,Dusk-hushed Boots,Consumable,Bandage,Common,Mining,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,consumable_dusk_hushed_boots_66035.png
66036,Mire-slick Staff (II),Consumable,Food,Common,None,Frostbriar_Reach,Common drop from humanoids and beasts; fuels crafting loops.,consumable_mire_slick_staff_ii_66036.png
66037,Stormbit Buckler (I),Gear,Dagger,Common,Alchemy,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,gear_stormbit_buckler_i_66037.png
66038,Marketfresh Boots,Ingredient,Hide,Uncommon,Leatherworking,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,ingredient_marketfresh_boots_66038.png
66039,Mire-slick Ring (III),Gear,Bow,Uncommon,Herbalism,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,gear_mire_slick_ring_iii_66039.png
66040,Briarbound Cloak,Gear,Dagger,Uncommon,Enchanting,Frostbriar_Reach,Baseline vendor stock; reliable in the first tiers.,gear_briarbound_cloak_66040.png
66041,Mire-slick Salve,Material,Thread,Uncommon,None,Frostbriar_Reach,Utility item that supports exploration and downtime.,material_mire_slick_salve_66041.png
66042,Dusk-hushed Amulet,Ingredient,Hide,Common,Leatherworking,Saltmarrow_Strand,Crafting component used across multiple recipes.,ingredient_dusk_hushed_amulet_66042.png
66043,Saltworn Scroll (I),Ingredient,Ore,Uncommon,Herbalism,Glimmerdeep_Mire,Crafting component used across multiple recipes.,ingredient_saltworn_scroll_i_66043.png
66044,Ashen Map (IV),Gear,Polearm,Common,Enchanting,Frostbriar_Reach,Utility item that supports exploration and downtime.,gear_ashen_map_iv_66044.png
66045,Marketfresh Tonic (IV),Material,Leatherworking,Uncommon,Smithing,Emberford_Marketwalk,Common drop from humanoids and beasts; fuels crafting loops.,material_marketfresh_tonic_iv_66045.png
66046,Gravemark Salve,Gear,Staff,Common,Smithing,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,gear_gravemark_salve_66046.png
66047,Briarbound Ring (III),Gear,Polearm,Common,Enchanting,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,gear_briarbound_ring_iii_66047.png
66048,Dusk-hushed Ration,Document,Scroll,Uncommon,Enchanting,Saltmarrow_Strand,Crafting component used across multiple recipes.,document_dusk_hushed_ration_66048.png
66049,Briarbound Map (IV),Quest,Quest Item,Common,Smithing,Frostbriar_Reach,Utility item that supports exploration and downtime.,quest_briarbound_map_iv_66049.png
66050,Briarbound Salve (IV),Consumable,Bandage,Common,None,Saltmarrow_Strand,Common drop from humanoids and beasts; fuels crafting loops.,consumable_briarbound_salve_iv_66050.png
66051,Mire-slick Lockpick,Gear,Sword,Common,Mining,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,gear_mire_slick_lockpick_66051.png
66052,Glimmering Lockpick (I),Gear,Staff,Uncommon,None,Frostbriar_Reach,Crafting component used across multiple recipes.,gear_glimmering_lockpick_i_66052.png
66053,Dusk-hushed Tonic (IV),Gear,Plate,Common,Alchemy,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,gear_dusk_hushed_tonic_iv_66053.png
66054,Emberlit Charm,Gear,Leather,Uncommon,Woodworking,Frostbriar_Reach,Baseline vendor stock; reliable in the first tiers.,gear_emberlit_charm_66054.png
66055,Ashen Ingot (IV),Gear,Sword,Common,Woodworking,Saltmarrow_Strand,Common drop from humanoids and beasts; fuels crafting loops.,gear_ashen_ingot_iv_66055.png
66056,Dusk-hushed Key,Document,Scroll,Rare,Alchemy,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,document_dusk_hushed_key_66056.png
66057,Ashen Gambeson,Quest,Quest Item,Common,Mining,Frostbriar_Reach,Common drop from humanoids and beasts; fuels crafting loops.,quest_ashen_gambeson_66057.png
66058,Saltworn Helm (I),Consumable,Potion,Common,Woodworking,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,consumable_saltworn_helm_i_66058.png
66059,Frosted Bandage (I),Consumable,Bandage,Rare,Alchemy,Frostbriar_Reach,Baseline vendor stock; reliable in the first tiers.,consumable_frosted_bandage_i_66059.png
66060,Sun-bleached Ingot,Ingredient,Herb,Uncommon,Enchanting,Emberford_Marketwalk,Utility item that supports exploration and downtime.,ingredient_sun_bleached_ingot_66060.png
66061,Saltworn Scroll,Gear,Mail,Rare,None,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,gear_saltworn_scroll_66061.png
66062,Glimmering Cloak,Consumable,Food,Rare,None,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,consumable_glimmering_cloak_66062.png
66063,Marketfresh Shortsword,Gear,Polearm,Uncommon,Smithing,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,gear_marketfresh_shortsword_66063.png
66064,Mire-slick Ingot (III),Gear,Polearm,Uncommon,Herbalism,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,gear_mire_slick_ingot_iii_66064.png
66065,Marketfresh Gambeson,Gear,Cloth,Uncommon,Leatherworking,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,gear_marketfresh_gambeson_66065.png
66066,Saltworn Ration,Gear,Mace,Rare,None,Frostbriar_Reach,Baseline vendor stock; reliable in the first tiers.,gear_saltworn_ration_66066.png
66067,Ashen Cloak,Material,Leatherworking,Common,Leatherworking,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,material_ashen_cloak_66067.png
66068,Sun-bleached Thread,Gear,Plate,Uncommon,Enchanting,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,gear_sun_bleached_thread_66068.png
66069,Dusk-hushed Ingot,Gear,Shield,Common,Woodworking,Saltmarrow_Strand,Common drop from humanoids and beasts; fuels crafting loops.,gear_dusk_hushed_ingot_66069.png
66070,Frosted Gambeson (I),Profession Tool,Kit,Common,Smithing,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,profession tool_frosted_gambeson_i_66070.png
66071,Briarbound Amulet (I),Gear,Axe,Uncommon,Woodworking,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,gear_briarbound_amulet_i_66071.png
66072,Marketfresh Ration (II),Consumable,Bandage,Common,Mining,Frostbriar_Reach,Uncommon upgrade that rounds out leveling builds.,consumable_marketfresh_ration_ii_66072.png
66073,Mire-slick Hatchet (I),Gear,Sword,Common,None,Saltmarrow_Strand,Utility item that supports exploration and downtime.,gear_mire_slick_hatchet_i_66073.png
66074,Stormbit Thread,Ingredient,Hide,Uncommon,Mining,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,ingredient_stormbit_thread_66074.png
66075,Ashen Lantern,Consumable,Potion,Uncommon,Leatherworking,Saltmarrow_Strand,Crafting component used across multiple recipes.,consumable_ashen_lantern_66075.png
66076,Dusk-hushed Key,Gear,Cloth,Common,Smithing,Emberford_Marketwalk,Common drop from humanoids and beasts; fuels crafting loops.,gear_dusk_hushed_key_66076.png
66077,Briarbound Amulet,Gear,Leather,Uncommon,Cooking,Glimmerdeep_Mire,Utility item that supports exploration and downtime.,gear_briarbound_amulet_66077.png
66078,Stormbit Key,Gear,Bow,Common,Tailoring,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,gear_stormbit_key_66078.png
66079,Stormbit Staff,Quest,Quest Item,Common,Tailoring,Frostbriar_Reach,Crafting component used across multiple recipes.,quest_stormbit_staff_66079.png
66080,Stormbit Legwraps (I),Gear,Axe,Common,Smithing,Saltmarrow_Strand,Common drop from humanoids and beasts; fuels crafting loops.,gear_stormbit_legwraps_i_66080.png
66081,Stormbit Cloak (II),Gear,Shield,Uncommon,Enchanting,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,gear_stormbit_cloak_ii_66081.png
66082,Emberlit Boots (IV),Consumable,Bandage,Rare,Woodworking,Saltmarrow_Strand,Utility item that supports exploration and downtime.,consumable_emberlit_boots_iv_66082.png
66083,Saltworn Cloak,Consumable,Potion,Uncommon,Herbalism,Frostbriar_Reach,Utility item that supports exploration and downtime.,consumable_saltworn_cloak_66083.png
66084,Gravemark Gambeson,Gear,Plate,Common,Herbalism,Frostbriar_Reach,Baseline vendor stock; reliable in the first tiers.,gear_gravemark_gambeson_66084.png
66085,Marketfresh Scroll,Gear,Leather,Uncommon,Leatherworking,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,gear_marketfresh_scroll_66085.png
66086,Gravemark Shortsword,Gear,Mace,Uncommon,Tailoring,Emberford_Marketwalk,Crafting component used across multiple recipes.,gear_gravemark_shortsword_66086.png
66087,Dusk-hushed Salve (III),Consumable,Bandage,Common,Mining,Saltmarrow_Strand,Crafting component used across multiple recipes.,consumable_dusk_hushed_salve_iii_66087.png
66088,Ashen Boots (II),Ingredient,Ore,Common,Smithing,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,ingredient_ashen_boots_ii_66088.png
66089,Glimmering Helm,Gear,Polearm,Uncommon,Alchemy,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,gear_glimmering_helm_66089.png
66090,Mire-slick Boots,Gear,Staff,Uncommon,Smithing,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,gear_mire_slick_boots_66090.png
66091,Briarbound Gambeson,Consumable,Potion,Rare,Leatherworking,Glimmerdeep_Mire,Baseline vendor stock; reliable in the first tiers.,consumable_briarbound_gambeson_66091.png
66092,Dusk-hushed Lockpick (III),Gear,Mace,Uncommon,Leatherworking,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,gear_dusk_hushed_lockpick_iii_66092.png
66093,Stormbit Shortsword,Gear,Sword,Uncommon,Tailoring,Saltmarrow_Strand,Crafting component used across multiple recipes.,gear_stormbit_shortsword_66093.png
66094,Ashen Hatchet (III),Gear,Polearm,Common,Enchanting,Frostbriar_Reach,Utility item that supports exploration and downtime.,gear_ashen_hatchet_iii_66094.png
66095,Saltworn Map,Ingredient,Wood,Uncommon,Cooking,Saltmarrow_Strand,Crafting component used across multiple recipes.,ingredient_saltworn_map_66095.png
66096,Ashen Salve,Gear,Plate,Rare,Alchemy,Frostbriar_Reach,Uncommon upgrade that rounds out leveling builds.,gear_ashen_salve_66096.png
66097,Stormbit Gambeson,Document,Scroll,Uncommon,Mining,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,document_stormbit_gambeson_66097.png
66098,Gravemark Boots,Gear,Polearm,Uncommon,Smithing,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,gear_gravemark_boots_66098.png
66099,Mire-slick Longbow (II),Consumable,Potion,Uncommon,None,Saltmarrow_Strand,Common drop from humanoids and beasts; fuels crafting loops.,consumable_mire_slick_longbow_ii_66099.png
66100,Glimmering Salve (II),Gear,Mail,Uncommon,Cooking,Emberford_Marketwalk,Common drop from humanoids and beasts; fuels crafting loops.,gear_glimmering_salve_ii_66100.png
66101,Saltworn Longbow,Ingredient,Herb,Uncommon,Smithing,Saltmarrow_Strand,Utility item that supports exploration and downtime.,ingredient_saltworn_longbow_66101.png
66102,Dusk-hushed Thread,Material,Leatherworking,Common,Leatherworking,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,material_dusk_hushed_thread_66102.png
66103,Gravemark Tonic (II),Ingredient,Herb,Uncommon,Herbalism,Glimmerdeep_Mire,Baseline vendor stock; reliable in the first tiers.,ingredient_gravemark_tonic_ii_66103.png
66104,Stormbit Gloves,Gear,Polearm,Common,None,Frostbriar_Reach,Common drop from humanoids and beasts; fuels crafting loops.,gear_stormbit_gloves_66104.png
66105,Dusk-hushed Cloak,Key,Key,Uncommon,Smithing,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,key_dusk_hushed_cloak_66105.png
66106,Saltworn Buckler (I),Ingredient,Ore,Uncommon,Woodworking,Saltmarrow_Strand,Common drop from humanoids and beasts; fuels crafting loops.,ingredient_saltworn_buckler_i_66106.png
66107,Glimmering Ring,Map,Map,Rare,Mining,Frostbriar_Reach,Common drop from humanoids and beasts; fuels crafting loops.,map_glimmering_ring_66107.png
66108,Glimmering Lantern (III),Gear,Bow,Uncommon,Alchemy,Glimmerdeep_Mire,Baseline vendor stock; reliable in the first tiers.,gear_glimmering_lantern_iii_66108.png
66109,Marketfresh Longbow,Ingredient,Hide,Uncommon,Tailoring,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,ingredient_marketfresh_longbow_66109.png
66110,Gravemark Ring (II),Material,Leatherworking,Common,Cooking,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,material_gravemark_ring_ii_66110.png
66111,Emberlit Gambeson (IV),Trinket,Charm,Common,Leatherworking,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,trinket_emberlit_gambeson_iv_66111.png
66112,Sun-bleached Thread (IV),Key,Key,Common,Smithing,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,key_sun_bleached_thread_iv_66112.png
66113,Briarbound Key,Quest,Quest Item,Rare,Herbalism,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,quest_briarbound_key_66113.png
66114,Stormbit Helm,Consumable,Potion,Rare,Enchanting,Glimmerdeep_Mire,Baseline vendor stock; reliable in the first tiers.,consumable_stormbit_helm_66114.png
66115,Glimmering Helm,Document,Scroll,Common,Mining,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,document_glimmering_helm_66115.png
66116,Dusk-hushed Longbow (I),Gear,Bow,Common,Herbalism,Emberford_Marketwalk,Crafting component used across multiple recipes.,gear_dusk_hushed_longbow_i_66116.png
66117,Stormbit Salve (I),Material,Thread,Rare,Leatherworking,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,material_stormbit_salve_i_66117.png
66118,Emberlit Lockpick (IV),Consumable,Potion,Uncommon,Herbalism,Glimmerdeep_Mire,Crafting component used across multiple recipes.,consumable_emberlit_lockpick_iv_66118.png
66119,Marketfresh Boots,Material,Ingot,Uncommon,Smithing,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,material_marketfresh_boots_66119.png
66120,Stormbit Hatchet,Material,Ingot,Common,Smithing,Saltmarrow_Strand,Crafting component used across multiple recipes.,material_stormbit_hatchet_66120.png
66121,Saltworn Cuirass (II),Gear,Axe,Rare,Alchemy,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,gear_saltworn_cuirass_ii_66121.png
66122,Stormbit Ration,Consumable,Potion,Uncommon,Cooking,Glimmerdeep_Mire,Crafting component used across multiple recipes.,consumable_stormbit_ration_66122.png
66123,Mire-slick Staff,Consumable,Bandage,Uncommon,Herbalism,Saltmarrow_Strand,Crafting component used across multiple recipes.,consumable_mire_slick_staff_66123.png
66124,Gravemark Cuirass,Material,Leatherworking,Rare,None,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,material_gravemark_cuirass_66124.png
66125,Mire-slick Buckler,Gear,Cloth,Rare,Enchanting,Saltmarrow_Strand,Utility item that supports exploration and downtime.,gear_mire_slick_buckler_66125.png
66126,Stormbit Scroll (IV),Consumable,Potion,Uncommon,Enchanting,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,consumable_stormbit_scroll_iv_66126.png
66127,Frosted Boots (III),Gear,Leather,Rare,Herbalism,Frostbriar_Reach,Common drop from humanoids and beasts; fuels crafting loops.,gear_frosted_boots_iii_66127.png
66128,Mire-slick Tonic (I),Gear,Shield,Common,Tailoring,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,gear_mire_slick_tonic_i_66128.png
66129,Gravemark Gambeson,Ingredient,Ore,Uncommon,Tailoring,Frostbriar_Reach,Uncommon upgrade that rounds out leveling builds.,ingredient_gravemark_gambeson_66129.png
66130,Marketfresh Cuirass (II),Gear,Bow,Uncommon,Cooking,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,gear_marketfresh_cuirass_ii_66130.png
66131,Glimmering Lantern (III),Gear,Shield,Common,Tailoring,Frostbriar_Reach,Uncommon upgrade that rounds out leveling builds.,gear_glimmering_lantern_iii_66131.png
66132,Saltworn Staff,Map,Map,Uncommon,Woodworking,Glimmerdeep_Mire,Utility item that supports exploration and downtime.,map_saltworn_staff_66132.png
66133,Dusk-hushed Shortsword,Material,Thread,Common,Herbalism,Glimmerdeep_Mire,Rare dungeon-worthy piece for midgame milestones.,material_dusk_hushed_shortsword_66133.png
66134,Ashen Charm,Gear,Sword,Uncommon,Cooking,Emberford_Marketwalk,Utility item that supports exploration and downtime.,gear_ashen_charm_66134.png
66135,Dusk-hushed Ration (I),Gear,Polearm,Uncommon,Tailoring,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,gear_dusk_hushed_ration_i_66135.png
66136,Frosted Buckler (IV),Document,Scroll,Uncommon,None,Frostbriar_Reach,Crafting component used across multiple recipes.,document_frosted_buckler_iv_66136.png
66137,Emberlit Cloak,Material,Ingot,Common,Cooking,Saltmarrow_Strand,Rare dungeon-worthy piece for midgame milestones.,material_emberlit_cloak_66137.png
66138,Glimmering Bandage,Profession Tool,Kit,Uncommon,Tailoring,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,profession tool_glimmering_bandage_66138.png
66139,Glimmering Lantern,Gear,Axe,Uncommon,None,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,gear_glimmering_lantern_66139.png
66140,Dusk-hushed Ration,Gear,Mace,Common,Mining,Frostbriar_Reach,Utility item that supports exploration and downtime.,gear_dusk_hushed_ration_66140.png
66141,Frosted Vial,Consumable,Potion,Uncommon,None,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,consumable_frosted_vial_66141.png
66142,Dusk-hushed Ingot,Gear,Mace,Uncommon,Herbalism,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,gear_dusk_hushed_ingot_66142.png
66143,Emberlit Legwraps,Key,Key,Rare,Herbalism,Frostbriar_Reach,Common drop from humanoids and beasts; fuels crafting loops.,key_emberlit_legwraps_66143.png
66144,Sun-bleached Tonic,Gear,Mace,Common,Tailoring,Glimmerdeep_Mire,Baseline vendor stock; reliable in the first tiers.,gear_sun_bleached_tonic_66144.png
66145,Gravemark Tonic (II),Ingredient,Hide,Common,Enchanting,Emberford_Marketwalk,Utility item that supports exploration and downtime.,ingredient_gravemark_tonic_ii_66145.png
66146,Ashen Vial (III),Trinket,Charm,Rare,Tailoring,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,trinket_ashen_vial_iii_66146.png
66147,Mire-slick Helm,Consumable,Bandage,Common,Tailoring,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,consumable_mire_slick_helm_66147.png
66148,Marketfresh Legwraps,Gear,Sword,Rare,Mining,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,gear_marketfresh_legwraps_66148.png
66149,Briarbound Map,Material,Ingot,Uncommon,Enchanting,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,material_briarbound_map_66149.png
66150,Dusk-hushed Longbow,Consumable,Bandage,Rare,Leatherworking,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,consumable_dusk_hushed_longbow_66150.png
66151,Sun-bleached Cuirass,Consumable,Potion,Uncommon,Cooking,Saltmarrow_Strand,Crafting component used across multiple recipes.,consumable_sun_bleached_cuirass_66151.png
66152,Emberlit Buckler,Ingredient,Ore,Uncommon,Woodworking,Frostbriar_Reach,Crafting component used across multiple recipes.,ingredient_emberlit_buckler_66152.png
66153,Emberlit Map,Gear,Leather,Rare,Mining,Glimmerdeep_Mire,Utility item that supports exploration and downtime.,gear_emberlit_map_66153.png
66154,Dusk-hushed Salve (II),Document,Scroll,Uncommon,Herbalism,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,document_dusk_hushed_salve_ii_66154.png
66155,Sun-bleached Cuirass,Material,Leatherworking,Common,Enchanting,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,material_sun_bleached_cuirass_66155.png
66156,Glimmering Cuirass (II),Quest,Quest Item,Uncommon,Alchemy,Frostbriar_Reach,Baseline vendor stock; reliable in the first tiers.,quest_glimmering_cuirass_ii_66156.png
66157,Sun-bleached Vial (III),Consumable,Food,Uncommon,Leatherworking,Emberford_Marketwalk,Crafting component used across multiple recipes.,consumable_sun_bleached_vial_iii_66157.png
66158,Sun-bleached Helm,Gear,Sword,Common,Mining,Emberford_Marketwalk,Utility item that supports exploration and downtime.,gear_sun_bleached_helm_66158.png
66159,Briarbound Longbow,Ingredient,Wood,Rare,Cooking,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,ingredient_briarbound_longbow_66159.png
66160,Emberlit Bandage,Trinket,Charm,Uncommon,Mining,Frostbriar_Reach,Crafting component used across multiple recipes.,trinket_emberlit_bandage_66160.png
66161,Gravemark Longbow,Gear,Staff,Rare,Herbalism,Frostbriar_Reach,Rare dungeon-worthy piece for midgame milestones.,gear_gravemark_longbow_66161.png
66162,Mire-slick Lockpick,Consumable,Bandage,Common,Alchemy,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,consumable_mire_slick_lockpick_66162.png
66163,Frosted Cuirass,Gear,Shield,Uncommon,Enchanting,Saltmarrow_Strand,Utility item that supports exploration and downtime.,gear_frosted_cuirass_66163.png
66164,Mire-slick Lockpick (II),Consumable,Food,Uncommon,Leatherworking,Glimmerdeep_Mire,Uncommon upgrade that rounds out leveling builds.,consumable_mire_slick_lockpick_ii_66164.png
66165,Marketfresh Ration (II),Gear,Sword,Common,Enchanting,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,gear_marketfresh_ration_ii_66165.png
